様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
1F,打合せスペース,事務所等,会議室,21.13,,3.1,3.25,6.5,,埋込下面開放,,124,4,,,,,,
1F,トイレ(女）,事務所等,トイレ,6.5,,2.8,3.25,2,,ﾀﾞｳﾝﾗｲﾄ,,39,3,,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,29,1,,,,,,
1F,トイレ(男）,事務所等,トイレ,5.17,,2.8,2.65,1.95,,ﾀﾞｳﾝﾗｲﾄ,,39,2,,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,29,1,,,,,,
1F,湯沸,事務所等,湯沸室等,2.73,,2.8,1.4,1.95,,ﾀﾞｳﾝﾗｲﾄ,,39,1,,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,29,1,,,,,,
1F,トイレ前通路,事務所等,廊下,5.85,,3.1,1.3,4.5,,埋込下面開放,,63,1,,,,,,
1F,ホール,事務所等,ロビー,48.8,,3.1,,,1.1,埋込下面開放,,124,11,,,,,,
1F,階段室,事務所等,階段,23.4,,3.8,3.6,6.5,,階段通路誘導灯,,48,1,,,,,,
1F,事務室,事務所等,事務室,442.32,,2.8,18.43,24,,埋込下面ルーバー,,124,108,,,,,,
2F,更衣･休憩(女）,事務所等,更衣室等,13,,2.6,6.5,2,,埋込下面開放,,124,2,,,,,,
2F,更衣･休憩(男）,事務所等,更衣室等,11.85,,2.6,3.95,3,,埋込下面開放,,124,2,,,,,,
2F,トイレ(男）,事務所等,トイレ,8.46,,2.6,,,0.5,ﾀﾞｳﾝﾗｲﾄ,,39,3,,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,29,1,,,,,,
2F,トイレ(女）,事務所等,トイレ,8.8,,2.6,4,2.2,,ﾀﾞｳﾝﾗｲﾄ,,39,4,,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,29,1,,,,,,
2F,湯沸,事務所等,湯沸室等,2.86,,2.6,2.2,1.3,,ﾀﾞｳﾝﾗｲﾄ,,39,1,,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,29,1,,,,,,
2F,トイレ前通路,事務所等,廊下,13.52,,2.6,,,0.7,埋込下面開放,,63,3,,,,,,
2F,ホール横通路,事務所等,廊下,18.85,,2.6,2.9,6.5,,埋込下面開放,,124,3,,,,,,
2F,ホール,事務所等,ロビー,12.6,,2.6,4.5,2.8,,埋込下面開放,,124,2,,,,,,
2F,階段室,事務所等,階段,23.4,,3.6,3.6,6.5,,階段通路誘導灯,,48,1,,,,,,
2F,事務室,事務所等,事務室,442.32,,2.6,18.43,24,,埋込下面ルーバー,,124,108,,,,,,
RF,ホール,事務所等,ロビー,12.6,,2.6,4.5,2.8,,埋込下面開放,,124,2,,,,,,
RF,階段室,事務所等,階段,23.4,,3.6,3.6,6.5,,階段通路誘導灯,,48,1,,,,,,
