様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
1F,打合せスペース,事務所等,会議室,21.13,3.8,3.1,■,,,■,
1F,トイレ(女）,事務所等,トイレ,6.5,3.8,2.8,,■,,■,
1F,ＰＳ,事務所等,電気・機械室（標準）,0.88,3.8,3.8,,,,,
1F,トイレ(男）,事務所等,トイレ,5.17,3.8,2.8,,■,,■,
1F,湯沸,事務所等,湯沸室等,2.73,3.8,2.8,,,,■,
1F,トイレ前通路,事務所等,廊下,5.85,3.8,3.1,,,,■,
1F,ホール,事務所等,ロビー,48.8,3.8,3.1,■,,,■,
1F,階段室,事務所等,廊下,23.4,3.8,3.8,,,,■,
1F,事務室,事務所等,事務室,442.32,3.8,2.8,■,,■,■,
2F,更衣･休憩(女）,事務所等,更衣室等,13,3.6,2.6,,■,,■,
2F,更衣･休憩(男）,事務所等,更衣室等,11.85,3.6,2.6,,■,,■,
2F,トイレ(男）,事務所等,トイレ,8.46,3.6,2.6,,■,,■,
2F,ＰＳ,事務所等,電気・機械室（標準）,0.99,3.6,3.6,,,,,
2F,トイレ(女）,事務所等,トイレ,8.8,3.6,2.6,,■,,■,
2F,湯沸,事務所等,湯沸室等,2.86,3.6,2.6,,■,,■,
2F,トイレ前通路,事務所等,廊下,13.52,3.6,2.6,,,,■,
2F,ホール横通路,事務所等,廊下,18.85,3.6,2.6,,,,■,
2F,ホール,事務所等,ロビー,12.6,3.6,2.6,■,,,■,
2F,階段室,事務所等,廊下,23.4,3.6,3.6,,,,■,
2F,事務室,事務所等,事務室,442.32,3.6,2.6,■,,■,■,
RF,ホール,事務所等,ロビー,12.6,3.6,2.6,,,,■,
RF,階段室,事務所等,廊下,23.4,3.6,3.6,,,,■,
