様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,①,①,②,②,空調機群名称,,⑤
,,,,,,,,,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
1F,打合せスペース,事務所等,会議室,21.13,3.8,3.1,1F,打合せスペース,PA12,PA12,
1F,ホール,事務所等,ロビー,48.8,3.8,3.1,1F,ホール,PA12,PA12,
1F,事務室,事務所等,事務室,442.32,3.8,2.8,1F,事務室,PA11,PA11,
2F,ホール,事務所等,ロビー,12.6,3.6,2.6,2F,ホール,PA22,PA22,
2F,事務室,事務所等,事務室,442.32,3.6,2.6,2F,事務室,PA21,PA21,
