様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
3F,3F事務室,事務所等,事務室,623,4,2.6,3F,3F事務室,AC3F,AC3F,
4F,4F事務室,事務所等,事務室,623,4,2.6,4F,4F事務室,AC4F,AC4F,
5F,5F事務室,事務所等,事務室,623,4,2.6,5F,5F事務室,AC5F,AC5F,
6F,6F事務室,事務所等,事務室,623,4,2.6,6F,6F事務室,AC6F,AC6F,
7F,7F事務室,事務所等,事務室,623,4,2.6,7F,7F事務室,AC7F,AC7F,
