様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC3F,1,空調機,74.76,74.76,13456.8,11.5,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC1,PH1,AHP,AHP,
AC4F,1,空調機,74.76,74.76,13456.8,11.5,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC1,PH1,AHP,AHP,
AC5F,1,空調機,74.76,74.76,13456.8,11.5,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC1,PH1,AHP,AHP,
AC6F,1,空調機,74.76,74.76,13456.8,11.5,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC1,PH1,AHP,AHP,
AC7F,1,空調機,74.76,74.76,13456.8,11.5,,,,定風量制御,,有,無,有,13456.8,50,無,0.1,PC1,PH1,AHP,AHP,
FCU8,1,空調機,28.946,34.6698,5217.3,5.3338,,,,定風量制御,,有,無,有,5217.3,50,無,0.1,PC1F,PH1F,AHPF,AHPF,
