様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
1F,1F事務室,事務所等,事務室,605.2,4,2.6,■,,,,
2F,2F会議室,事務所等,会議室,623,4,2.6,■,,,,
3F,3F事務室,事務所等,事務室,623,4,2.6,■,,,,
4F,4F事務室,事務所等,事務室,623,4,2.6,■,,,,
5F,5F事務室,事務所等,事務室,623,4,2.6,■,,,,
6F,6F事務室,事務所等,事務室,623,4,2.6,■,,,,
7F,7F事務室,事務所等,事務室,623,4,2.6,■,,,,
8F,8F事務室,事務所等,事務室,495.1,4,2.6,■,,,,
8F,セミナールーム,事務所等,会議室,127.9,4,2.6,■,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,■,,,,
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,■,,,,
1F,警備員室,事務所等,中央監視室,17.8,4,2.6,■,,,,
B1F,書庫,事務所等,更衣室,22.1,5.5,2.6,■,,,,
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,■,,,,
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,■,,,,
1F,1FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
2F,2FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
3F,3FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
4F,4FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
5F,5FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
6F,6FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
7F,7FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
8F,8FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
9F,9FEVホール,事務所等,ロビー,37.4,4,2.4,■,,,,
9F,9F食堂,事務所等,社員食堂,520.4,4,2.6,■,,,,
