様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
1F,1F事務室,事務所等,事務室,605.2,4,2.6,1F,1F事務室,AHU1,AHU1,
2F,2F会議室,事務所等,会議室,623,4,2.6,2F,2F会議室,AHU2,AHU2,
3F,3F事務室,事務所等,事務室,623,4,2.6,3F,3F事務室,AHU3,AHU3,
4F,4F事務室,事務所等,事務室,623,4,2.6,4F,4F事務室,AHU4,AHU4,
5F,5F事務室,事務所等,事務室,623,4,2.6,5F,5F事務室,AHU5,AHU5,
6F,6F事務室,事務所等,事務室,623,4,2.6,6F,6F事務室,AHU6,AHU6,
7F,7F事務室,事務所等,事務室,623,4,2.6,7F,7F事務室,AHU7,AHU7,
8F,8F事務室,事務所等,事務室,495.1,4,2.6,8F,8F事務室,AHU8,AHU8,
8F,セミナールーム,事務所等,会議室,127.9,4,2.6,8F,セミナールーム,AHU9,AHU9,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,B1F,中央監視室,AHU10,AHU10,
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,1F,エントランスホール,AHU11,AHU11,
1F,警備員室,事務所等,中央監視室,17.8,4,2.6,1F,警備員室,AHU12,AHU12,
B1F,書庫,事務所等,更衣室,22.1,5.5,2.6,B1F,書庫,AHU13,AHU13,
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,B1F,更衣室,AHU14,AHU14,
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,B1F,清掃員控室,AHU15,AHU15,
1F,1FEVホール,事務所等,ロビー,37.4,4,2.4,1F,1FEVホール,AHU16,AHU16,
2F,2FEVホール,事務所等,ロビー,37.4,4,2.4,2F,2FEVホール,AHU17,AHU17,
3F,3FEVホール,事務所等,ロビー,37.4,4,2.4,3F,3FEVホール,AHU18,AHU18,
4F,4FEVホール,事務所等,ロビー,37.4,4,2.4,4F,4FEVホール,AHU19,AHU19,
5F,5FEVホール,事務所等,ロビー,37.4,4,2.4,5F,5FEVホール,AHU20,AHU20,
6F,6FEVホール,事務所等,ロビー,37.4,4,2.4,6F,6FEVホール,AHU21,AHU21,
7F,7FEVホール,事務所等,ロビー,37.4,4,2.4,7F,7FEVホール,AHU22,AHU22,
8F,8FEVホール,事務所等,ロビー,37.4,4,2.4,8F,8FEVホール,AHU23,AHU23,
9F,9FEVホール,事務所等,ロビー,37.4,4,2.4,9F,9FEVホール,AHU24,AHU24,
9F,9F食堂,事務所等,社員食堂,520.4,4,2.6,9F,9F食堂,AHU25,AHU25,
