様式 2-6. (空調)二次ポンプ入力シート,,,,,,,,,,
,,,,,,,,,,
①,②,③,③,④,⑤,⑥,⑦,⑧,⑨,⑩
,,,,,,,,,,
二次ポンプ群名称,台数制御の有無,冷房時温度差,暖房時温度差,運転順位,台数,定格流量,定格消費電力,流量制御方式,変流量時最小流量比,備考
,,,,,,,,,,（機器表の記号、系統名等）
,,,,,,,,,,
,,[℃],[℃],,[台],[?/h台],[kW/台],,[%],
,(選択),,,(選択),,,,(選択),,
,,,,,,,,,,
PC1,有,7,7,1番目,2,51.45881633,19.10213636,回転数制御,60,
PC2,有,7,7,1番目,2,1.032195918,0.383163636,回転数制御,60,
PC3,有,7,7,1番目,2,8.72997551,3.240672727,回転数制御,60,
PH1,有,7,7,1番目,2,56.07484898,20.81566364,回転数制御,60,
PH2,有,7,7,1番目,2,0.944081633,0.350454545,回転数制御,60,
PH3,有,7,7,1番目,2,7.965306122,2.956818182,回転数制御,60,
