様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AHU1,1,空調機,72.624,72.624,13072.32,11.17292308,,,,定風量制御,,有,無,有,13072.32,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU2,1,空調機,110.894,105.287,19936,17.06061538,,,,定風量制御,,有,無,有,19936,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU3,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU4,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU5,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU6,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU7,1,空調機,74.76,74.76,13456.8,11.50153846,,,,定風量制御,,有,無,有,13456.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU8,1,空調機,59.412,59.412,10694.16,9.140307692,,,,定風量制御,,有,無,有,10694.16,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU9,1,空調機,22.7662,21.6151,4092.8,3.502492308,,,,定風量制御,,有,無,有,4092.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU11,1,空調機,17.3376,20.7648,3124.8,3.194584615,,,,定風量制御,,有,無,有,3124.8,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU13,1,空調機,2.2321,2.4973,402.22,0.3842,,,,定風量制御,,有,無,有,402.22,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU14,1,空調機,1.212,1.356,218.4,0.208615385,,,,定風量制御,,有,無,有,218.4,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU15,1,空調機,2.2624,2.5312,407.68,0.389415385,,,,定風量制御,,有,無,有,407.68,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU16,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU17,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU18,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU19,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU20,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU21,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU22,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU23,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU24,1,空調機,3.2164,3.8522,579.7,0.592646154,,,,定風量制御,,有,無,有,579.7,60,無,0.1,PC1,PH1,AHP1,AHP1,
AHU10,1,空調機,11.56,9.605,2082.5,1.778461538,,,,定風量制御,,有,無,有,2082.5,60,無,0.1,PC2,PH2,AHP2,AHP2,
AHU12,1,空調機,2.4208,2.0114,436.1,0.372430769,,,,定風量制御,,有,無,有,436.1,60,無,0.1,PC2,PH2,AHP2,AHP2,
AHU25,1,空調機,117.6104,98.876,21180.28,18.09390769,,,,定風量制御,,有,無,有,21180.28,60,無,0.1,PC3,PH3,AHP3,AHP3,
