様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
B1F,中央監視室,東,1,1,OW1,37.4,WNDW1,11.22,有
,,地中,1,1,SBW1,68.8,,,
B1F,清掃員控室,地中,1,1,SBW1,23.7,,,
B1F,書庫,地中,1,1,SBW1,18.2,,,
B1F,更衣室,地中,1,1,SBW1,12.1,,,
1F,1F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,46.4,WNDW1,13.92,有
1F,警備員室,南,1,1,OW1,21.6,WNDW1,6.48,無
1F,エントランスホール,北,1,1,OW1,72,WNDW1,21.6,有
,,南,1,1,OW1,72,WNDW1,21.6,有
,,西,1,1,OW1,179.2,WNDW1,53.76,有
2F,2F会議室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
3F,3F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
3F,3FEVホール,西,1,1,OW1,44,WNDW1,13.2,無
4F,4F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
4F,4FEVホール,西,1,1,OW1,44,WNDW1,16.38,無
5F,5F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
5F,5FEVホール,西,1,1,OW1,44,WNDW1,13.2,無
6F,6F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
6F,6FEVホール,西,1,1,OW1,44,WNDW1,13.2,無
7F,7F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
7F,7FEVホール,西,1,1,OW1,44,WNDW1,13.2,無
8F,8F事務室,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,117.2,WNDW1,35.16,有
8F,セミナールーム,南,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,30.8,WNDW1,9.24,有
8F,8FEVホール,西,1,1,OW1,44,WNDW1,13.2,無
9F,9F食堂,北,1,1,OW1,68,WNDW1,20.4,有
,,東,1,1,OW1,148,WNDW1,44.4,有
,,南,1,1,OW1,68,WNDW1,20.4,有
,,水平,1,1,OR1,520.4,,,
9F,9FEVホール,西,1,1,OW1,44,WNDW1,13.2,無
,,水平,1,1,OR1,37.4,,,
