様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC1F,1,空調機,57.494,105.91,10348.92,7.18675,,,0.75,定風量制御,,有,無,有,2620,60,有,0.1,PC1,PH1,AHP,AHP,
AC2F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC3F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC4F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC5F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC6F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC7F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC8F,1,空調機,59.185,109.025,10653.3,7.398125,,,0.75,定風量制御,,有,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
ACEN,1,空調機,19.152,35.28,3447.36,2.394,,,0.1,定風量制御,,有,無,有,880,60,有,0.1,PC1,PH1,AHP,AHP,
OCRS,1,空調機,49.438,91.07,8898.84,6.17975,,,0.75,定風量制御,,有,無,有,2250,60,有,0.1,PC1,PH1,AHP,AHP,
FCU4,1,空調機,1.14,2.1,205.2,0.1425,,,,定風量制御,,有,無,有,60,60,有,0.1,PC1,PH1,AHP,AHP,
FCU6,1,空調機,2.128,3.92,383.04,0.266,,,,定風量制御,,有,無,有,100,60,有,0.1,PC1,PH1,AHP,AHP,
FCU8,23,空調機,1.39030434782609,2.56108695652174,250.254782608696,0.173788043478261,,,,定風量制御,,有,無,有,70,60,有,0.1,PC1,PH1,AHP,AHP,
ACCI,1,空調機,8.075,14.875,1453.5,1.009375,,,,定風量制御,,有,無,有,370,60,有,0.1,PC1,PH1,AHP,AHP,
ACSI,1,空調機,2.0995,3.8675,377.91,0.2624375,,,,定風量制御,,有,無,有,100,60,有,0.1,PC1,PH1,AHP,AHP,
ACKI,1,空調機,1.691,3.115,304.38,0.211375,,,,定風量制御,,有,無,有,80,60,有,0.1,PC1,PH1,AHP,AHP,
,,,,,,,,,,,,,,,,,,,,,,,
