様式 4-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
階,室名,建物用途,室用途,室面積,給気／排気,機器名称
,,,,,,
,,,,[㎡],,(選択)
(転記),(転記),(転記),(転記),(転記),(任意),(必須)
1F,打合せスペース,事務所等,会議室,21.125,給気,FS-1
,,,,,排気,FE-1
1F,ホール,事務所等,ロビー,48.8,給気,FS-2
,,,,,排気,FE-2
2F,ホール,事務所等,ロビー,12.6,給気,FS-3
,,,,,排気,FE-3
1F,トイレ(男）,事務所等,トイレ,5.2,排気,FE-4
1F,トイレ(女）,事務所等,トイレ,6.5,排気,FE-4
1F,湯沸,事務所等,湯沸室等,2.7,排気,FE-5
2F,トイレ(男）,事務所等,トイレ,8.5,排気,FE-6
2F,トイレ(女）,事務所等,トイレ,8.8,排気,FE-6
2F,更衣･休憩(男）,事務所等,更衣室等,11.9,排気,FE-7
2F,更衣･休憩(女）,事務所等,更衣室等,13,排気,FE-7
2F,湯沸,事務所等,湯沸室等,2.9,排気,FE-8
