様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択)
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須)
1F,打合せスペース,事務所等,会議室,3.1,3.25,6.5,21.13,,埋込下面開放,,95,4,,,,,
1F,トイレ(女）,事務所等,トイレ,2.8,3.25,2,6.5,,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,
1F,トイレ(女）,事務所等,トイレ,2.8,3.25,2,6.5,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,トイレ(男）,事務所等,トイレ,2.8,2.65,1.95,5.17,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,
1F,トイレ(男）,事務所等,トイレ,2.8,2.65,1.95,5.17,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,湯沸,事務所等,湯沸室等,2.8,1.4,1.95,2.73,,ﾀﾞｳﾝﾗｲﾄ,,35,1,,,,,
1F,湯沸,事務所等,湯沸室等,2.8,1.4,1.95,2.73,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,トイレ前通路,事務所等,廊下,3.1,1.3,4.5,5.85,,埋込下面開放,,48,1,,,,,
1F,ホール,事務所等,ロビー,3.1,,,48.8,1.1,埋込下面開放,,95,11,,,,,
1F,階段室,事務所等,階段,3.8,3.6,6.5,23.4,,階段通路誘導灯,,48,1,,,,,
1F,事務室,事務所等,事務室,2.8,18.43,24,442.32,,埋込下面ルーバー,,95,108,,,タイマー,,
2F,更衣･休憩(女）,事務所等,更衣室等,2.6,6.5,2,13,,埋込下面開放,,95,2,,,,,
2F,更衣･休憩(男）,事務所等,更衣室等,2.6,3.95,3,11.85,,埋込下面開放,,95,2,,,,,
2F,トイレ(男）,事務所等,トイレ,2.6,,,8.46,0.5,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,
2F,トイレ(男）,事務所等,トイレ,2.6,,,8.46,0.5,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
2F,トイレ(女）,事務所等,トイレ,2.6,4,2.2,8.8,,ﾀﾞｳﾝﾗｲﾄ,,35,4,,,,,
2F,トイレ(女）,事務所等,トイレ,2.6,4,2.2,8.8,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
2F,湯沸,事務所等,湯沸室等,2.6,2.2,1.3,2.86,,ﾀﾞｳﾝﾗｲﾄ,,35,1,,,,,
2F,湯沸,事務所等,湯沸室等,2.6,2.2,1.3,2.86,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
2F,トイレ前通路,事務所等,廊下,2.6,,,13.52,0.7,埋込下面開放,,48,3,,,,,
2F,ホール横通路,事務所等,廊下,2.6,2.9,6.5,18.85,,埋込下面開放,,95,3,,,,,
2F,ホール,事務所等,ロビー,2.6,4.5,2.8,12.6,,埋込下面開放,,95,2,,,,,
2F,階段室,事務所等,階段,3.6,3.6,6.5,23.4,,階段通路誘導灯,,48,1,,,,,
2F,事務室,事務所等,事務室,2.6,18.43,24,442.32,,埋込下面ルーバー,,95,108,,,タイマー,,
RF,ホール,事務所等,ロビー,2.6,4.5,2.8,12.6,,埋込下面開放,,95,2,,,,,
RF,階段室,事務所等,階段,3.6,3.6,6.5,23.4,,階段通路誘導灯,,48,1,,,,,
