様式 2-2. (空調) 外皮仕様入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階,空調ゾーン名,外皮1,,,,,,,,外皮2,,,,,,,,外皮3,,,,,,,,外皮4,,,,,,,,外皮5,,,,,,,
,,,,外壁1,,,窓1,,,,,外壁2,,,窓2,,,,,外壁3,,,窓3,,,,,外壁4,,,窓4,,,,,外壁5,,,窓5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類
,,(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(転記),(転記),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意)
1F,打合せスペース,北,,OW1J,3.3,12.5,WNDW1,1.5,明色,西,,OW1J,6.5,24.7,WNDW1,11.1,明色,,,,,,,,,,,,,,,,,地中,,IF4J,-,21.1,,,
1F,ホール,西,,OW1J,8.4,31.7,WNDW1,25.7,無,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF4J,-,48.8,,,
1F,事務室,北,,OW1J,24,91.2,WNDW1,40.8,明色,東,,OW1J,18.5,70.1,WNDW1,4.6,明色,南,,OW1J,24,91.2,WNDW1,40.8,明色,,,,,,,,,地中,,IF4J,-,442.3,,,
2F,ホール,西,,OW1J,2.8,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,事務室,北,,OW1J,24,86.4,WNDW1,36,明色,東,,OW1J,18.5,66.4,WNDW1,4.1,明色,南,,OW1J,24,86.4,WNDW1,36,明色,屋根,,RF1J,-,442.3,,,,,,,,,,,
