様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
空調機名称,機器名称,系統名,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,送風機定格消費電力,,,,風量制御方式,VAV時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,
,,,,,,,,給気,還気,外気,排気,,,,,全熱交換機の有無,処理風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,(機器表の記号等）,,,,,,,,,,,,,,,,,,,,,,,
(任意の文字列),,,[台],(選択),[kW/台],[kW/台],[m3/h・台],[kW/台],[kW/台],[kW/台],[kW/台],(選択),［％］,(選択),(選択),(選択),[m3/h・台],［％］,(選択),[kW/台],(選択),(選択),(選択),(選択)
(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須)
PA11,PAC-1-1,1階事務室,12,室内機,5.6,6.3,960,0.06,,0.17,,CAV,,無,無,有,480,60,有,,,,PA1,PA1
PA12,PAC-1-2,1階打合せSP+ﾎｰﾙ,3,室内機,14,16,2070,0.12,,,,CAV,,無,無,無,,,,,,,PA1,PA1
PA21,PAC-2-1,2階事務室,12,室内機,5.6,6.3,960,0.06,,0.17,,CAV,,無,無,有,480,60,有,,,,PA2,PA2
PA22,PAC-2-2,2階ﾎｰﾙ,1,室内機,2.8,3.2,780,0.06,,,,CAV,,無,無,無,,,,,,,PA2,PA2
