１　室リスト,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,空調計算対象室,照明計算対象室,換気計算対象室,給湯計算対象室
,,,,,,,,,,,,,,
,,,,,,照明計算用,照明計算用,,,,,,,
階,* 室名,* 建物用途,* 室用途,* 階高,* 天井高,室の間口 ※,室の奥行 ※,* 室面積,備考欄,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,[m],[m],[m],[m],[㎡],,,,,,
B1F,中央監視室,事務所等,中央監視室,5.5,4.8,6.8,12.5,85,,,●,●,,●
B1F,清掃員控室,事務所等,更衣室等,5.5,2.6,5.2,4.3,22.4,,,●,●,,●
B1F,書庫,事務所等,更衣室等,5.5,2.6,3.3,6.7,22.1,,,●,●,●,
B1F,更衣室,事務所等,更衣室等,5.5,2.6,,,12,,,●,●,●,
B1F,受水槽室,事務所等,電気・機械室（標準）,5.5,5.5,9.4,9.7,91.2,,,,●,●,
B1F,機械室,事務所等,電気・機械室（標準）,5.5,5.5,,,238.5,,,,●,●,
B1F,発電機室,事務所等,電気・機械室（標準）,5.5,5.5,12.1,5.8,70.2,,,,●,●,
B1F,電気室,事務所等,電気・機械室（高発熱）,5.5,5.5,8.4,9.5,79.8,,,,●,●,
B1F,MDF室,事務所等,電気・機械室（高発熱）,5.5,5.5,2.6,8.4,21.8,,,,●,●,
B1F,廊下,事務所等,廊下,5.5,2.4,,,80.9,,,,●,,
B1F,階段室Ｎ,事務所等,廊下,5.5,5.5,3.2,7,22.4,,,,●,,
B1F,乗降ﾛﾋﾞｰ,事務所等,ロビー,5.5,2.4,2.6,4.3,11.2,,,,●,,
B1F,ＤＳ,事務所等,電気・機械室（標準）,5.5,5.5,1,7,7,,,,●,,
B1F,ＰＳ1,事務所等,電気・機械室（標準）,5.5,5.5,1.2,2.8,3.4,,,,●,,
B1F,倉庫1,事務所等,更衣室等,5.5,5.5,2.8,5.8,16.2,,,,●,●,
B1F,倉庫2,事務所等,更衣室等,5.5,5.5,,,45.2,,,,●,●,
B1F,ＰＳ2,事務所等,電気・機械室（標準）,5.5,5.5,1.2,2.8,3.4,,,,●,,
B1F,便所,事務所等,トイレ,5.5,2.4,2.8,2.8,7.8,,,,●,●,
B1F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,5.5,2.4,2.4,3.2,7.7,,,,●,●,
B1F,ｼｬﾜｰ室,事務所等,湯沸室等,5.5,2.4,3,2.8,8.4,,,,●,●,
B1F,消火ﾎﾟﾝﾌﾟ室,事務所等,電気・機械室（標準）,5.5,5.5,3.6,4.4,15,,,,●,●,
B1F,倉庫3,事務所等,更衣室等,5.5,5.5,2.6,3.6,9.4,,,,●,●,
B1F,階段室S,事務所等,廊下,5.5,5.5,3.2,7,22.4,,,,●,,
1F,1F事務室,事務所等,事務室,4,2.6,,,605.2,,,●,●,●,●
1F,警備員室,事務所等,中央監視室,4,2.6,3.3,5.4,17.8,,,●,●,,●
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,事務所等,ロビー,8,6.4,9,22.4,201.6,,,●,●,●,
1F,1FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.2,37.4,,,●,●,,
1F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
1F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
1F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
1F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
1F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
1F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
1F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
1F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
1F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
1F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
1F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
1F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
1F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
1F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
1F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
1F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
1F,風除室,事務所等,廊下,4,3,4.4,3.5,15.4,,,,●,,
2F,2F会議室,事務所等,会議室,4,2.6,37,17,623,623,,●,●,●,●
2F,2FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
2F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
2F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
2F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
2F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
2F,機械室1,事務所等,電気・機械室（標準）,4,3.8,3.2,7,22.4,,,,●,,
2F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
2F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
2F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
2F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
2F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
2F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
2F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
2F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
2F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
2F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
2F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
3F,3F事務室,事務所等,事務室,4,2.6,37,17,623,,,●,●,●,●
3F,3FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
3F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
3F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
3F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
3F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
3F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
3F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
3F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
3F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
3F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
3F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
3F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
3F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
3F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
3F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
