４　換気,,,,,
4-1　給排気送風機,,,,,
,,,,,
,風量,"電動機
(出力)",制御による補正値,,
,,,高効率電動機の採用,インバータの採用,送風量制御の採用
,,,,,
,,,,,
,,,あり,あり,
,[m3/h],[kW],,,
FS-ER-BF,2190,0.75,,,
FS-GE-BF,1650,0.75,,,温度制御
FS-MR-BF,3110,1.5,,,
FS-MDF-BF,650,0.4,,,
FS-FP-BF,430,0.1,,,
FS-EV2-RF,2100,1.5,,,
FS-EV1-RF,6200,1.5,,,温度制御
OAC-RS-9F,11400,11,,,温度制御
ACP-KT-9F,1920,0.16,,有,
FE-WC1-1･･8F,580,0.1,,,温度制御
FE-WC2-1･･8F,680,0.1,,,温度制御
FE-HW-1･･8F,60,0.05,,,温度制御
FE-ST-1･･8F,60,0.05,,,
FE-WC1-9F,580,0.1,,,
FE-WC2-9F,680,0.1,,,温度制御
FE-HW-9F,60,0.05,,,温度制御
FE-ST-9F,60,0.05,,,温度制御
FE-RT-9F,11400,3.7,,,
FE-ER-BF,2190,0.75,,,
FE-GE-BF,1650,0.4,,,温度制御
FE-MR-BF,3110,0.75,,,
FE-MDF-BF,650,0.15,,,
FE-FP-BF,430,0.1,,,
FE-ST1-BF,1680,0.4,,,
FE-ST2-BF,210,0.1,,,
FE-ST3-BF,390,0.1,,,
FE-WC-BF,170,0.1,,,
FE-SW-BF,100,0.1,,,
FE-LC-BF,130,0.1,,,
FE-EV2-RF,2100,0.4,,,
FE-EV1-RF,6200,0.4,,,温度制御
