２　空調,,,,,,,,,,,,,,,,,,,,,,
2-2　熱源類,,,,,,,,,,,,,,,,,,,,,,
,,冷房,,暖房,,,,冷房熱源,,,,,,,,,暖房熱源,,,,,
,,,,,,,,,,,,,,冷却塔仕様,,,,,,,,
熱源群名称,冷暖同時供給,蓄熱,台数制御,蓄熱,台数制御,機器表の記号,機器種類,同一ｺｰﾄﾞ内の,台数,冷凍能力,主機,補機,一次ポンプ,冷却能力,電動機,冷却水ポンプ,同一ｺｰﾄﾞ内の,台数,加熱能力,主機,補機,一次ポンプ
,有無,有無,有無,有無,有無,,,運転順位,,,消費電力,消費電力,消費電力,,消費電力,消費電力,運転順位,,,消費電力,消費電力,消費電力
,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,[Nｍ3/台],,,,,,,,,[Nｍ3/台],,
,,,,,,,,,,[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,,[kW/台],[kW/台],[kW/台],[kW/台]
AHP,無,無,有,無,有,AHP-1,空冷ヒートポンプ（スクリュー，インバータ）,1番目,1,265,74,4.8,3.7,,,,1番目,1,280,74,4.8,3.7
,,,,,,AHP-2,空冷ヒートポンプ（スクリュー，インバータ）,2番目,1,265,74,4.8,3.7,,,,2番目,1,280,74,4.8,3.7
,,,,,,AHP-3,空冷ヒートポンプ（スクリュー，インバータ）,3番目,1,265,74,4.8,3.7,,,,3番目,1,280,74,4.8,3.7
,,,,,,AHP-4,空冷ヒートポンプ（スクリュー，インバータ）,4番目,1,265,74,4.8,3.7,,,,4番目,1,280,74,4.8,3.7
ACCO,無,無,無,無,無,ACP-CN-BF,電気式ビル用マルチ,1番目,1,14,3.75,0.185,,,,,1番目,1,16,3.75,0.185,
ACSO,無,無,無,無,無,ACP-ST-BF,電気式ビル用マルチ,1番目,1,14,3.75,0.185,,,,,1番目,1,16,3.75,0.185,
ACKO,無,無,無,無,無,ACP-KB-BF,電気式ビル用マルチ,1番目,1,4.5,1.5,0.065,,,,,1番目,1,5,1.5,0.065,
ACRO,無,無,無,無,無,ACP-RT-BF,電気式ビル用マルチ,1番目,1,14,3.75,0.185,,,,,1番目,1,14,3.75,0.185,
