様式 7-2. (効率化)コジェネレーションシステム入力シート,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
①,年間電力需要,,,,,,③,④,⑤,⑥,⑦,⑧,⑨,⑩
,②,②,②,②,②,②,,,,,,,,
コジェネレーションシステム名称,空調,換気,給湯,照明,昇降機,その他,機器名称,発電効率,排熱回収率,発電依存率,有効熱利用率,有効排熱量の冷熱利用比,温水吸収冷凍機または排熱投入型冷温水機の成績係数,備考
,,,,,,,,,,,,,,
,[MWh],[MWh],[MWh],[MWh],[MWh],[MWh],,[-],[-],[-],[-],[-],[-],
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
コジェネ１,100,100,100,100,100,100,機器A,0.4,0.8,0.001,0.8,0.2,1.8,補足情報
,,,,,,,機器B,0.4,0.8,0.001,0.8,0.2,1.8,補足情報
,,,,,,,機器A,0.4,0.8,0.001,0.8,0.2,1.8,補足情報
,,,,,,,機器B,0.4,0.8,0.001,0.8,0.2,1.8,補足情報
