１　室リスト,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,空調計算対象室,照明計算対象室,換気計算対象室,給湯計算対象室
,,,,,,,,,,,,,,
,,,,,,照明計算用,照明計算用,,,,,,,
階,* 室名,* 建物用途,* 室用途,* 階高,* 天井高,室の間口 ※,室の奥行 ※,* 室面積,備考欄,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,[m],[m],[m],[m],[㎡],,,,,,
1F,ホール,事務所等,ロビー,3.535,2.6,,,5.74,,,●,●,●,●
1F,事務室,事務所等,事務室,4.5,3.5,,,100.2,,,●,●,●,●
2F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
2F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
3F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
3F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
4F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
4F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
5F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
5F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
6F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
6F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
7F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
7F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
8F,ホール,事務所等,ロビー,3.6,2.6,,,5.74,,,●,●,●,●
8F,事務室,事務所等,事務室,3.6,2.6,,,96.8,,,●,●,●,●
