■壁体構造,,,,,,,
　　　　　　　　　※ 材料は室内側から記入、土の厚さは指定不要,,,,,,,
壁タイプ,外壁,接地壁,,番号,,材料名,厚み
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,（ｍｍ）
OW1J,■,,[,41,],ﾋﾞﾆｰﾙｸﾛｽ,1
,,,[,32,],GB,12
,,,[,92,],非密閉空気層,65
,,,[,85,],発砲ｳﾚﾀﾝ,10
,,,[,22,],RC,60
,,,[,36,],ﾀｲﾙ,45
,,,[,,],,
,,,[,,],,
,,,[,,],,
,,,[,,],,
,,,[,,],,
OW2,■,,[,41,],ﾋﾞﾆｰﾙｸﾛｽ,1
,,,[,32,],GB,12
,,,[,92,],非密閉空気層,65
,,,[,85,],発砲ｳﾚﾀﾝ,15
,,,[,32,],耐火ﾎﾞｰﾄﾞ（＝ＰＢとする）,25
,,,[,92,],非密閉空気層,65
,,,[,35,],ｶﾞﾗｽ,8
,,,[,,],,
,,,[,,],,
,,,[,,],,
,,,[,,],,
RF1J,■,,[,75,],RB,10
,,,[,32,],GB,12
,,,[,92,],非密閉空気層,850
,,,[,22,],RC,140
,,,[,83,],ｽﾁﾚﾝ発砲板,25
,,,[,43,],ｱｽﾌｧﾙﾄ,10
,,,[,22,],RC,85
,,,[,,],,
,,,[,,],,
,,,[,,],,
,,,[,,],,
IF4J,,■,[,47,],ｶｰﾍﾟｯﾄ,3
,,,[,6,],ｱﾙﾐ,10
,,,[,92,],非密閉空気層,100
,,,[,22,],RC,150
,,,[,44,],防湿紙類,2
,,,[,92,],非密閉空気層,500
,,,[,22,],RC,250
,,,[,15,],ﾛｰﾑ質土壌,999
,,,[,,],,
,,,[,,],,
,,,[,,],,
