機器ｺｰﾄﾞ,機器表の記号,系統名,台数,空調機タイプ,冷却(冷房)能力,加熱(暖房)能力,給気送風機,電動機消費電力（送風機）,,,,風量制御,VAV,外気ｶｯﾄ,外気冷房,全熱交換ユニット,,,,,ポンプ群コード,,熱源群コード,
,,,,,,,風量,給気,還気,外気,排気,,最小風量比,有無,有無,有無,処理風量,熱交換効率,バイパス,ロータ,,,,
,,,,,,,,,,,,,,,,,,,制御,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,冷房,暖房,冷房,暖房
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,[kW/台],[kW/台],[m3/h・台],[kW/台],[kW/台],[kW/台],[kW/台],,[%],,,,[m3/h・台],［％］,,[kW/台],,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PA11,PAC-1-1,1階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA1,PA1
PA21,PAC-2-1,2階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA2,PA2
PA31,PAC-3-1,3階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA3,PA3
PA41,PAC-4-1,4階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA4,PA4
PA51,PAC-5-1,5階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA5,PA5
PA61,PAC-6-1,6階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA6,PA6
PA71,PAC-7-1,7階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA7,PA7
PA81,PAC-8-1,8階事務室,3,室内機,9,10,1410,0.056,,0.17,,CAV,,無,無,有,480,60,有,0,,,PA8,PA8
PA91,PAC-9-1,2階ﾎｰﾙ,8,室内機,2.8,3.2,780,0.056,,,,CAV,,無,無,無,,,,,,,PA9,PA9
