様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,■,,■,■,
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,■,,■,■,
B1F,書庫,事務所等,更衣室,21.1,5.5,2.6,■,,,■,排気ファンは空調計算対象
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,■,,,■,排気ファンは空調計算対象
B1F,受水槽室,事務所等,機械室,91.2,5.5,5.5,,■,,■,
B1F,機械室,事務所等,機械室,195.8,5.5,5.5,,■,,■,
B1F,非常用発電機室,事務所等,機械室,70.2,5.5,5.5,,,,■,非常用のため給排気ファンは計算対象外
B1F,電気室,事務所等,電気室,79.8,5.5,5.5,,■,,■,
B1F,MDF室,事務所等,電気室,21.8,5.5,5.5,,■,,■,
B1F,廊下,事務所等,廊下,80.9,5.5,2.4,,,,■,
B1F,階段室Ｎ,事務所等,廊下,22.4,5.5,5.5,,,,■,
B1F,乗降ロビー,事務所等,廊下,11.2,5.5,2.4,,,,■,
B1F,DS1,事務所等,機械室,3.6,5.5,5.5,,,,■,乗降ロビー近傍西側DS
B1F,DS2,事務所等,機械室,1.8,5.5,5.5,,,,■,乗降ロビー近傍東側DS
B1F,PS1,事務所等,機械室,3.4,5.5,5.5,,,,■,倉庫1西側PS
B1F,倉庫1,事務所等,湯沸室等,16.2,5.5,5.5,,■,,■,
B1F,倉庫2,事務所等,湯沸室等,45.2,5.5,5.5,,■,,■,
B1F,PS2,事務所等,機械室,3.4,5.5,5.5,,,,■,シャワー室西側PS
B1F,EPS,事務所等,機械室,6.1,5.5,5.5,,,,■,
B1F,アラーム弁室,事務所等,機械室,1.9,5.5,5.5,,,,■,
B1F,便所,事務所等,便所,7.8,5.5,2.4,,■,,■,
B1F,湯沸コーナー,事務所等,湯沸室等,7.7,5.5,2.4,,■,,■,
B1F,シャワー室,事務所等,湯沸室等,8.4,5.5,2.4,,■,,■,
B1F,消火ポンプ室,事務所等,機械室,15,5.5,5.5,,■,,■,
B1F,倉庫3,事務所等,湯沸室等,9.4,5.5,5.5,,■,,■,
B1F,階段室S,事務所等,廊下,22.4,5.5,5.5,,,,■,
1F,1F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
1F,1F事務室I-S,事務所等,事務室,204,4,2.6,■,,■,■,南側インテリア空調系統
