様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,B1F,中央監視室,ACCI,ACCI,
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,B1F,清掃員控室,FCUB1F1,FCUB1F1,
B1F,書庫,事務所等,更衣室,21.1,5.5,2.6,B1F,書庫,ACSI,ACSI,
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,B1F,更衣室,FCUB1F2,FCUB1F2,
1F,1F事務室I-N,事務所等,事務室,323.9,4,2.6,1F,1F事務室I-N,AC1F-IN,AC1F-IN,北側インテリア空調系統
1F,1F事務室I-S,事務所等,事務室,204,4,2.6,1F,1F事務室I-S,AC1F-IS,AC1F-IS,南側インテリア空調系統
1F,1F事務室P-N,事務所等,事務室,48.1,4,2.6,1F,1F事務室P-N,AC1F-P,AC1F-IN,北側ペリメータ空調系統
1F,1F事務室P-S,事務所等,事務室,29.2,4,2.6,1F,1F事務室P-S,AC1F-P,AC1F-IS,南側ペリメータ空調系統
1F,警備員室,事務所等,事務室,17.8,4,2.6,1F,警備員室,ACKI,ACKI,
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,1F,エントランスホール,ACEN,ACEN,
1F,1FEVホール,事務所等,廊下,37.4,4,2.4,1F,1FEVホール,FCU1F,ACEN,
2F,2F会議室I-N,事務所等,会議室,323.9,4,2.6,2F,2F会議室I-N,AC2F-IN,AC2F-IN,北側インテリア空調系統
2F,2F会議室I-S,事務所等,会議室,213.7,4,2.6,2F,2F会議室I-S,AC2F-IS,AC2F-IS,南側インテリア空調系統
2F,2F会議室P-N,事務所等,会議室,48.1,4,2.6,2F,2F会議室P-N,AC2F-P,AC2F-IN,北側ペリメータ空調系統
2F,2F会議室P-S,事務所等,会議室,37.3,4,2.6,2F,2F会議室P-S,AC2F-P,AC2F-IS,南側ペリメータ空調系統
2F,2FEVホール,事務所等,廊下,37.4,4,2.4,2F,2FEVホール,FCU2F,AC2F-IS,
3F,3F事務室I-N,事務所等,事務室,323.9,4,2.6,3F,3F事務室I-N,AC3F-IN,AC3F-IN,北側インテリア空調系統
3F,3F事務室I-S,事務所等,事務室,213.7,4,2.6,3F,3F事務室I-S,AC3F-IS,AC3F-IS,南側インテリア空調系統
3F,3F事務室P-N,事務所等,事務室,48.1,4,2.6,3F,3F事務室P-N,AC3F-P,AC3F-IN,北側ペリメータ空調系統
3F,3F事務室P-S,事務所等,事務室,37.3,4,2.6,3F,3F事務室P-S,AC3F-P,AC3F-IS,南側ペリメータ空調系統
3F,3FEVホール,事務所等,廊下,37.4,4,2.4,3F,3FEVホール,FCU3F,AC3F-IS,
4F,4F事務室I-N,事務所等,事務室,323.9,4,2.6,4F,4F事務室I-N,AC4F-IN,AC4F-IN,北側インテリア空調系統
4F,4F事務室I-S,事務所等,事務室,213.7,4,2.6,4F,4F事務室I-S,AC4F-IS,AC4F-IS,南側インテリア空調系統
4F,4F事務室P-N,事務所等,事務室,48.1,4,2.6,4F,4F事務室P-N,AC4F-P,AC4F-IN,北側ペリメータ空調系統
4F,4F事務室P-S,事務所等,事務室,37.3,4,2.6,4F,4F事務室P-S,AC4F-P,AC4F-IS,南側ペリメータ空調系統
4F,4FEVホール,事務所等,廊下,37.4,4,2.4,4F,4FEVホール,FCU4F,AC4F-IS,
5F,5F事務室I-N,事務所等,事務室,323.9,4,2.6,5F,5F事務室I-N,AC5F-IN,AC5F-IN,北側インテリア空調系統
5F,5F事務室I-S,事務所等,事務室,213.7,4,2.6,5F,5F事務室I-S,AC5F-IS,AC5F-IS,南側インテリア空調系統
5F,5F事務室P-N,事務所等,事務室,48.1,4,2.6,5F,5F事務室P-N,AC5F-P,AC5F-IN,北側ペリメータ空調系統
5F,5F事務室P-S,事務所等,事務室,37.3,4,2.6,5F,5F事務室P-S,AC5F-P,AC5F-IS,南側ペリメータ空調系統
5F,5FEVホール,事務所等,廊下,37.4,4,2.4,5F,5FEVホール,FCU5F,AC5F-IS,
6F,6F事務室I-N,事務所等,事務室,323.9,4,2.6,6F,6F事務室I-N,AC6F-IN,AC6F-IN,北側インテリア空調系統
6F,6F事務室I-S,事務所等,事務室,213.7,4,2.6,6F,6F事務室I-S,AC6F-IS,AC6F-IS,南側インテリア空調系統
6F,6F事務室P-N,事務所等,事務室,48.1,4,2.6,6F,6F事務室P-N,AC6F-P,AC6F-IN,北側ペリメータ空調系統
6F,6F事務室P-S,事務所等,事務室,37.3,4,2.6,6F,6F事務室P-S,AC6F-P,AC6F-IS,南側ペリメータ空調系統
6F,6FEVホール,事務所等,廊下,37.4,4,2.4,6F,6FEVホール,FCU6F,AC6F-IS,
7F,7F事務室I-N,事務所等,事務室,323.9,4,2.6,7F,7F事務室I-N,AC7F-IN,AC7F-IN,北側インテリア空調系統
7F,7F事務室I-S,事務所等,事務室,213.7,4,2.6,7F,7F事務室I-S,AC7F-IS,AC7F-IS,南側インテリア空調系統
7F,7F事務室P-N,事務所等,事務室,48.1,4,2.6,7F,7F事務室P-N,AC7F-P,AC7F-IN,北側ペリメータ空調系統
7F,7F事務室P-S,事務所等,事務室,37.3,4,2.6,7F,7F事務室P-S,AC7F-P,AC7F-IS,南側ペリメータ空調系統
7F,7FEVホール,事務所等,廊下,37.4,4,2.4,7F,7FEVホール,FCU7F,AC7F-IS,
8F,8F事務室I-N,事務所等,事務室,323.9,4,2.6,8F,8F事務室I-N,AC8F-IN,AC8F-IN,北側インテリア空調系統
8F,8F事務室I-S,事務所等,事務室,213.7,4,2.6,8F,8F事務室I-S,AC8F-IS,AC8F-IS,南側インテリア空調系統
