様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
B1F,中央監視室,東,1,1,OW1,37.4,WNDW1,9.54,有
,,日陰,1,1,BW1,68.75,,,
B1F,清掃員控室,日陰,1,1,BW1,23.65,,,
B1F,書庫,日陰,1,1,BW1,18.15,,,
,,日陰,1,1,BF1,21.1,,,
B1F,更衣室,日陰,1,1,BW1,12.1,,,
,,日陰,1,1,BF1,12,,,
1F,1F事務室I-N,北,1,1,OW1,21.6,,,
1F,1F事務室I-S,南,1,1,OW1,21.6,,,
1F,1F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
1F,1F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,24.4,WNDW1,8.1,有
1F,警備員室,南,1,1,OW1,21.6,WNDW1,8.1,有
1F,エントランスホール,北,1,1,OW1,72,WNDW1,52.5,有
,,南,0.06,0.02,OW1,14.7,WNDW1,14.7,無
,,南,1,1,OW1,57.3,WNDW1,37.8,有
,,西,1,1,OW1,179.2,WNDW1,52.5,有
2F,2F会議室I-N,北,1,1,OW1,21.6,,,
2F,2F会議室I-S,南,1,1,OW1,21.6,,,
2F,2F会議室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
2F,2F会議室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
3F,3F事務室I-N,北,1,1,OW1,21.6,,,
3F,3F事務室I-S,南,1,1,OW1,21.6,,,
3F,3F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
3F,3F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
3F,3FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
4F,4F事務室I-N,北,1,1,OW1,21.6,,,
4F,4F事務室I-S,南,1,1,OW1,21.6,,,
4F,4F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
4F,4F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
4F,4FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
5F,5F事務室I-N,北,1,1,OW1,21.6,,,
5F,5F事務室I-S,南,1,1,OW1,21.6,,,
5F,5F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
5F,5F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
5F,5FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
6F,6F事務室I-N,北,1,1,OW1,21.6,,,
6F,6F事務室I-S,南,1,1,OW1,21.6,,,
6F,6F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
6F,6F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
6F,6FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
7F,7F事務室I-N,北,1,1,OW1,21.6,,,
7F,7F事務室I-S,南,1,1,OW1,21.6,,,
7F,7F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
7F,7F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
7F,7FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
8F,8F事務室I-N,北,1,1,OW1,21.6,,,
8F,8F事務室I-S,南,1,1,OW1,21.6,,,
8F,8F事務室P-N,北,1,1,OW1,46,WNDW1,16.2,有
,,東,1,1,OW1,88.2,WNDW1,33.48,有
8F,8F事務室P-S,東,1,1,OW1,59.4,WNDW1,22.32,有
,,南,1,1,OW1,46,WNDW1,16.2,有
8F,8FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
9F,9F食堂,北,1,1,OW1,67.6,WNDW1,16.2,有
,,東,1,1,OW1,147.6,WNDW1,55.8,有
,,南,1,1,OW1,67.6,WNDW1,16.2,有
,,水平,1,1,OR1,520.4,,,
9F,9FEVホール,西,1,1,OW1,44,WNDW1,16.38,有
,,水平,1,1,OR1,10.88,,,
