様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,蓄熱システム,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AHP,無,有,,,空冷式スクリューヒートポンプ,1番目,1,7,265,78.8,,3.7,,,,1番目,1,45,280,78.8,,3.7,AHP-1
,,,,,空冷式スクリューヒートポンプ,2番目,1,7,265,78.8,,3.7,,,,2番目,1,45,280,78.8,,3.7,AHP-2
,,,,,空冷式スクリューヒートポンプ,3番目,1,7,265,78.8,,3.7,,,,3番目,1,45,280,78.8,,3.7,AHP-3
,,,,,空冷式スクリューヒートポンプ,4番目,1,7,265,78.8,,3.7,,,,4番目,1,45,280,78.8,,3.7,AHP-4
ACCO,無,無,,,電気式ビル用マルチ,1番目,1,7,14,3.94,,,,,,1番目,1,45,16,3.94,,,ACP-CN-BF
ACSO,無,無,,,電気式ビル用マルチ,1番目,1,7,4.5,1.57,,,,,,1番目,1,45,5,1.57,,,ACP-ST-BF
ACKO,無,無,,,電気式ビル用マルチ,1番目,1,7,4.5,1.57,,,,,,1番目,1,45,5,1.57,,,ACP-KB-1F
