様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
ACCI,2,室内機,7,8,1140,0.11,,,,定風量制御,,無,無,無,,,,,,,ACCO,ACCO,
ACCI,1,全熱交ユニット,,,480,,,0.17,,定風量制御,,無,無,有,480,60,有,,,,,,
ACSI,1,室内機,4.5,5,720,0.09,,,,定風量制御,,無,無,無,,,,,,,ACSO,ACSO,
ACSI,1,送風機,,,,,,,0.1,定風量制御,,無,無,無,,,,,,,,,
ACKI,1,室内機,4.5,5,720,0.09,,,,定風量制御,,無,無,無,,,,,,,ACKO,ACKO,
ACKI,1,全熱交ユニット,,,270,,,0.17,,定風量制御,,無,無,有,270,60,有,,,,,,
FCUB1F1,1,室内機,2.93,4.13,960,0.11,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCUB1F1,1,全熱交ユニット,,,210,,,0.17,,定風量制御,,無,無,有,210,60,有,,,,,,
FCUB1F2,1,室内機,2.1,2.89,640,0.08,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCUB1F2,1,送風機,,,,,,,0.1,定風量制御,,無,無,無,,,,,,,,,
ACEN,1,空調機,36.2,36.8,8200,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
ACEN,1,送風機,,,,,,,0.1,定風量制御,,無,無,無,,,,,,,,,
AC1F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC1F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC1F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC1F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC1F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU1F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC2F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC2F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC2F-IS,1,空調機,37.2,13.2,4100,7.5,5.5,,,回転数制御,30,有,無,有,3750,70,有,,PCH2,PCH2,AHP,AHP,
AC2F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC2F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU2F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC3F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC3F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC3F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC3F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC3F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU3F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC4F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC4F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC4F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC4F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC4F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU4F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC5F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC5F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC5F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC5F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC5F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU5F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC6F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC6F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC6F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC6F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC6F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU6F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC7F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC7F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC7F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC7F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC7F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU7F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC8F-IN,1,空調機,49.1,19.5,7500,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC8F-IN,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC8F-IS,1,空調機,33,13.4,5000,7.5,,,,回転数制御,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP,
AC8F-IS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
AC8F-P,1,空調機,13.7,11.3,4000,5.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU8F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
OCRS,1,空調機,83.3,67.2,5760,7.5,,,,回転数制御,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
OCRS,1,送風機,,,,,,,0.75,定風量制御,,無,無,無,,,,,,,,,
FCU9FRS,5,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
FCU9F,2,室内機,3.94,5.98,1120,0.13,,,,定風量制御,,無,無,無,,,,,PCH2,PCH2,AHP,AHP,
