様式 4-1. (給湯)給湯対象室入力シート,,,,,,,
,,,,,,,
,,,,,,,
①,①,①,①,①,②,③,④
,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[_],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)
,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,湯沸コーナー,自動給湯栓,EH3-B1F
,,,,,シャワー室,節水型シャワー,EH4-B1F
B1F,清掃員控室,事務所等,更衣室,22.4,湯沸コーナー,自動給湯栓,EH3-B1F
,,,,,シャワー室,節水型シャワー,EH4-B1F
1F,1F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-1F
,,,,,男子便所,自動給湯栓,EH2-1F
,,,,,湯沸コーナー,自動給湯栓,EH3-1F
1F,1F事務室I-S,事務所等,事務室,204,女子便所,自動給湯栓,EH1-1F
,,,,,男子便所,自動給湯栓,EH2-1F
,,,,,湯沸コーナー,自動給湯栓,EH3-1F
1F,1F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-1F
,,,,,男子便所,自動給湯栓,EH2-1F
,,,,,湯沸コーナー,自動給湯栓,EH3-1F
1F,1F事務室P-S,事務所等,事務室,29.2,女子便所,自動給湯栓,EH1-1F
,,,,,男子便所,自動給湯栓,EH2-1F
,,,,,湯沸コーナー,自動給湯栓,EH3-1F
1F,エントランスホール,事務所等,ロビー,201.6,女子便所,自動給湯栓,EH1-1F
,,,,,男子便所,自動給湯栓,EH2-1F
,,,,,湯沸コーナー,自動給湯栓,EH3-1F
1F,警備員室,事務所等,事務室,17.8,女子便所,自動給湯栓,EH1-1F
,,,,,男子便所,自動給湯栓,EH2-1F
,,,,,湯沸コーナー,自動給湯栓,EH3-1F
2F,2F会議室I-N,事務所等,会議室,323.9,女子便所,自動給湯栓,EH1-2F
,,,,,男子便所,自動給湯栓,EH2-2F
,,,,,湯沸コーナー,自動給湯栓,EH3-2F
2F,2F会議室I-S,事務所等,会議室,213.7,女子便所,自動給湯栓,EH1-2F
,,,,,男子便所,自動給湯栓,EH2-2F
,,,,,湯沸コーナー,自動給湯栓,EH3-2F
2F,2F会議室P-N,事務所等,会議室,48.1,女子便所,自動給湯栓,EH1-2F
,,,,,男子便所,自動給湯栓,EH2-2F
,,,,,湯沸コーナー,自動給湯栓,EH3-2F
2F,2F会議室P-S,事務所等,会議室,37.3,女子便所,自動給湯栓,EH1-2F
,,,,,男子便所,自動給湯栓,EH2-2F
,,,,,湯沸コーナー,自動給湯栓,EH3-2F
3F,3F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-3F
,,,,,男子便所,自動給湯栓,EH2-3F
,,,,,湯沸コーナー,自動給湯栓,EH3-3F
3F,3F事務室I-S,事務所等,事務室,213.7,女子便所,自動給湯栓,EH1-3F
,,,,,男子便所,自動給湯栓,EH2-3F
,,,,,湯沸コーナー,自動給湯栓,EH3-3F
3F,3F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-3F
,,,,,男子便所,自動給湯栓,EH2-3F
,,,,,湯沸コーナー,自動給湯栓,EH3-3F
3F,3F事務室P-S,事務所等,事務室,37.3,女子便所,自動給湯栓,EH1-3F
,,,,,男子便所,自動給湯栓,EH2-3F
,,,,,湯沸コーナー,自動給湯栓,EH3-3F
4F,4F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-4F
,,,,,男子便所,自動給湯栓,EH2-4F
,,,,,湯沸コーナー,自動給湯栓,EH3-4F
4F,4F事務室I-S,事務所等,事務室,213.7,女子便所,自動給湯栓,EH1-4F
,,,,,男子便所,自動給湯栓,EH2-4F
,,,,,湯沸コーナー,自動給湯栓,EH3-4F
4F,4F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-4F
,,,,,男子便所,自動給湯栓,EH2-4F
,,,,,湯沸コーナー,自動給湯栓,EH3-4F
4F,4F事務室P-S,事務所等,事務室,37.3,女子便所,自動給湯栓,EH1-4F
,,,,,男子便所,自動給湯栓,EH2-4F
,,,,,湯沸コーナー,自動給湯栓,EH3-4F
5F,5F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-5F
,,,,,男子便所,自動給湯栓,EH2-5F
,,,,,湯沸コーナー,自動給湯栓,EH3-5F
5F,5F事務室I-S,事務所等,事務室,213.7,女子便所,自動給湯栓,EH1-5F
,,,,,男子便所,自動給湯栓,EH2-5F
,,,,,湯沸コーナー,自動給湯栓,EH3-5F
5F,5F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-5F
,,,,,男子便所,自動給湯栓,EH2-5F
,,,,,湯沸コーナー,自動給湯栓,EH3-5F
5F,5F事務室P-S,事務所等,事務室,37.3,女子便所,自動給湯栓,EH1-5F
,,,,,男子便所,自動給湯栓,EH2-5F
,,,,,湯沸コーナー,自動給湯栓,EH3-5F
6F,6F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-6F
,,,,,男子便所,自動給湯栓,EH2-6F
,,,,,湯沸コーナー,自動給湯栓,EH3-6F
6F,6F事務室I-S,事務所等,事務室,213.7,女子便所,自動給湯栓,EH1-6F
,,,,,男子便所,自動給湯栓,EH2-6F
,,,,,湯沸コーナー,自動給湯栓,EH3-6F
6F,6F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-6F
,,,,,男子便所,自動給湯栓,EH2-6F
,,,,,湯沸コーナー,自動給湯栓,EH3-6F
6F,6F事務室P-S,事務所等,事務室,37.3,女子便所,自動給湯栓,EH1-6F
,,,,,男子便所,自動給湯栓,EH2-6F
,,,,,湯沸コーナー,自動給湯栓,EH3-6F
7F,7F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-7F
,,,,,男子便所,自動給湯栓,EH2-7F
,,,,,湯沸コーナー,自動給湯栓,EH3-7F
7F,7F事務室I-S,事務所等,事務室,213.7,女子便所,自動給湯栓,EH1-7F
,,,,,男子便所,自動給湯栓,EH2-7F
,,,,,湯沸コーナー,自動給湯栓,EH3-7F
7F,7F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-7F
,,,,,男子便所,自動給湯栓,EH2-7F
,,,,,湯沸コーナー,自動給湯栓,EH3-7F
7F,7F事務室P-S,事務所等,事務室,37.3,女子便所,自動給湯栓,EH1-7F
,,,,,男子便所,自動給湯栓,EH2-7F
,,,,,湯沸コーナー,自動給湯栓,EH3-7F
8F,8F事務室I-N,事務所等,事務室,323.9,女子便所,自動給湯栓,EH1-8F
,,,,,男子便所,自動給湯栓,EH2-8F
,,,,,湯沸コーナー,自動給湯栓,EH3-8F
8F,8F事務室I-S,事務所等,事務室,213.7,女子便所,自動給湯栓,EH1-8F
,,,,,男子便所,自動給湯栓,EH2-8F
,,,,,湯沸コーナー,自動給湯栓,EH3-8F
8F,8F事務室P-N,事務所等,事務室,48.1,女子便所,自動給湯栓,EH1-8F
,,,,,男子便所,自動給湯栓,EH2-8F
,,,,,湯沸コーナー,自動給湯栓,EH3-8F
8F,8F事務室P-S,事務所等,事務室,37.3,女子便所,自動給湯栓,EH1-8F
,,,,,男子便所,自動給湯栓,EH2-8F
,,,,,湯沸コーナー,自動給湯栓,EH3-8F
9F,9F食堂,事務所等,社員食堂,520.4,厨房,無,EH5-9F
,,,,,女子便所,自動給湯栓,EH1-9F
,,,,,男子便所,自動給湯栓,EH2-9F
,,,,,湯沸コーナー,自動給湯栓,EH3-9F
