様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[_],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,6.8 ,12.5 ,,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,24,無,無,有,片側採光かつブラインド自動制御なし,無,無
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,5.2 ,4.3 ,,埋込下面開放,FRS15-322,95,4,無,無,無,無,無,無
B1F,書庫,事務所等,更衣室,22.1,5.5,2.6,3.3 ,6.7 ,,直付富士型,FSS9-322,95,3,無,無,無,無,無,無
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,,,0.6,埋込下面開放,FRS15-322,95,2,無,無,無,無,無,無
B1F,受水槽室,事務所等,機械室,91.2,5.5,5.5,9.4 ,9.7 ,,反射笠付,FSR2-322,95,4,無,無,無,無,無,無
B1F,機械室,事務所等,機械室,195.8,5.5,5.5,,,1.1,反射笠付,FSR2-322,95,7,無,無,無,無,無,無
,,,,,,,,,,反射笠付,FSR2-321,48,2,無,無,無,無,無,無
B1F,非常用発電機室,事務所等,機械室,70.2,5.5,5.5,12.1 ,5.8 ,,反射笠付,FSR2-322,95,3,無,無,無,無,無,無
B1F,電気室,事務所等,電気室,79.8,5.5,5.5,9.5 ,8.4 ,,反射笠付,FSR2-322,95,4,無,無,無,無,無,無
B1F,MDF室,事務所等,電気室,21.8,5.5,5.5,2.6 ,8.4 ,,反射笠付,FSR2-322,95,1,無,無,無,無,無,無
B1F,廊下,事務所等,廊下,80.9,5.5,2.4,,,0.8,ダウンライト,FRS23-H421,48,24,無,消灯,無,無,無,無
B1F,階段室Ｎ,事務所等,廊下,22.4,5.5,5.5,3.2 ,7.0 ,,階段通路誘導灯,K1-FBF15-321,48,2,無,無,無,無,無,無
B1F,乗降ロビー,事務所等,廊下,11.2,5.5,2.4,2.6 ,4.3 ,,階段通路誘導灯,K1-FBF15-321,48,1,無,無,無,無,無,無
B1F,DS1,事務所等,機械室,3.6,5.5,5.5,3.6 ,1.0 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
B1F,DS2,事務所等,機械室,1.8,5.5,5.5,1.8 ,1.0 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
B1F,PS1,事務所等,機械室,3.4,5.5,5.5,1.2 ,2.8 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
B1F,倉庫1,事務所等,湯沸室等,16.2,5.5,5.5,2.8 ,5.8 ,,直付富士型,FSS9-322,95,2,無,無,無,無,無,無
B1F,倉庫2,事務所等,湯沸室等,45.2,5.5,5.5,,,0.4,直付富士型,FSS9-322,95,5,無,無,無,無,無,無
B1F,PS2,事務所等,機械室,3.4,5.5,5.5,2.8 ,1.2 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
B1F,EPS,事務所等,機械室,6.1,5.5,5.5,6.1 ,1.0 ,,直付富士型,FSS9-161,22,2,無,無,無,無,無,無
B1F,アラーム弁室,事務所等,機械室,1.9,5.5,5.5,1.9 ,1.0 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
B1F,便所,事務所等,便所,7.8,5.5,2.4,2.8 ,2.8 ,,ダウンライト,FRS23-H421,48,4,無,無,無,無,無,無
,,,,,,,,,,ブラケット,FBF7RP-321,22,1,無,無,無,無,無,無
B1F,湯沸コーナー,事務所等,湯沸室等,7.7,5.5,2.4,2.4 ,3.2 ,,埋込下面開放,FRS15-322,95,1,無,無,無,無,無,無
,,,,,,,,,,ブラケット,FBF7RP-321,22,1,無,無,無,無,無,無
B1F,シャワー室,事務所等,湯沸室等,8.4,5.5,2.4,3.0 ,2.8 ,,ダウンライト,FRS23-H421,48,4,無,無,無,無,無,無
B1F,消火ポンプ室,事務所等,機械室,15,5.5,5.5,3.6 ,4.2 ,,直付富士型,FSS9-321,48,2,無,無,無,無,無,無
B1F,倉庫3,事務所等,湯沸室等,9.4,5.5,5.5,2.6 ,3.6 ,,直付富士型,FSS9-322,95,1,無,無,無,無,無,無
B1F,階段室S,事務所等,廊下,22.4,5.5,5.5,3.2 ,7.0 ,,階段通路誘導灯,K1-FBF15-321,48,2,無,無,無,無,無,無
1F,1F事務室I-N,事務所等,事務室,323.9,4,2.6,22.1 ,15.4 ,,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,96,無,無,有,両側採光かつブラインド自動制御なし,無,無
,,,,,,,,,,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,12,無,無,有,両側採光かつブラインド自動制御なし,無,無
1F,1F事務室I-S,事務所等,事務室,204,4,2.6,14.9 ,15.4 ,,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,62,無,無,有,両側採光かつブラインド自動制御なし,無,無
,,,,,,,,,,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,7,無,無,有,両側採光かつブラインド自動制御なし,無,無
1F,1F事務室P-N,事務所等,事務室,48.1,4,2.6,,,0.8,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,12,無,無,有,両側採光かつブラインド自動制御なし,無,無
1F,1F事務室P-S,事務所等,事務室,29.2,4,2.6,,,0.7,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,8,無,無,有,両側採光かつブラインド自動制御なし,無,無
1F,警備員室,事務所等,事務室,17.8,4,2.6,5.4 ,3.3 ,,埋込下面ルーバー（システム天井用）,FRS28L5-P452,94,2,無,無,無,無,無,無
,,,,,,,,,,埋込下面ルーバー（システム天井用）,FRS28L5-P451,47,1,無,無,無,無,無,無
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,22.4 ,9.0 ,,ダウンライト,FRS23-H422,95,60,無,消灯,無,無,無,無
1F,1FEVホール,事務所等,廊下,37.4,4,2.4,11.0 ,3.4 ,,ダウンライト,FRS23-H421,48,12,無,消灯,無,無,無,無
1F,廊下,事務所等,廊下,88.6,4,2.4,,,0.7,ダウンライト,FRS23-H421,48,25,無,消灯,無,無,無,無
1F,階段室Ｎ,事務所等,廊下,22.4,4,4,3.2 ,7.0 ,,階段通路誘導灯,K1-FBF15-321,48,2,無,無,無,無,無,無
1F,乗降ロビー,事務所等,廊下,11.2,4,2.4,2.6 ,4.3 ,,階段通路誘導灯,K1-FBF15-321,48,1,無,無,無,無,無,無
1F,DS1,事務所等,機械室,3.6,4,4,3.6 ,1.0 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
1F,DS2,事務所等,機械室,1.8,4,4,1.8 ,1.0 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
1F,機械室1,事務所等,機械室,22.4,4,4,3.2 ,7.0 ,,直付富士型,FSS9-321,48,2,無,無,無,無,無,無
1F,PS1,事務所等,機械室,3.4,4,4,2.8 ,1.2 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
1F,男子便所,事務所等,便所,16.2,4,2.4,2.8 ,5.8 ,,ダウンライト,FRS23-H421,48,6,無,無,無,無,無,無
,,,,,,,,,,ブラケット,FBF7RP-321,22,1,無,無,無,無,無,無
1F,EPS,事務所等,機械室,6.1,4,4,6.1 ,1.0 ,,直付富士型,FSS9-161,22,2,無,無,無,無,無,無
1F,アラーム弁室,事務所等,機械室,1.9,4,4,1.9 ,1.0 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
1F,PS2,事務所等,機械室,3.4,4,4,2.8 ,1.2 ,,直付富士型,FSS9-161,22,1,無,無,無,無,無,無
1F,女子便所,事務所等,便所,16.2,4,2.4,2.8 ,5.8 ,,ダウンライト,FRS23-H421,48,6,無,無,無,無,無,無
,,,,,,,,,,ブラケット,FBF7RP-321,22,1,無,無,無,無,無,無
1F,多目的便所,事務所等,便所,4,4,2.4,2.0 ,2.0 ,,ダウンライト,FRS23-H421,48,2,無,無,無,無,無,無
,,,,,,,,,,ブラケット,FBF7RP-321,22,1,無,無,無,無,無,無
1F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,2.2 ,3.2 ,,埋込下面開放,FRS15-322,95,1,無,無,無,無,無,無
,,,,,,,,,,ブラケット,FBF7RP-321,22,1,無,無,無,無,無,無
1F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,,0.3,直付富士型,FSS9-322,95,1,無,無,無,無,無,無
