様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),
1F,打合せスペース,2,会議室,3.10 ,3.25 ,6.50 ,21.13 ,,埋込下面開放,,95,4,,,,,,
1F,トイレ(女）,2,トイレ,2.80 ,3.25 ,2.00 ,6.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,,
1F,トイレ(女）,2,トイレ,2.80 ,3.25 ,2.00 ,6.50 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,トイレ(男）,2,トイレ,2.80 ,2.65 ,1.95 ,5.17 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
1F,トイレ(男）,2,トイレ,2.80 ,2.65 ,1.95 ,5.17 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,湯沸,2,湯沸室等,2.80 ,1.40 ,1.95 ,2.73 ,,ﾀﾞｳﾝﾗｲﾄ,,35,1,,,,,,
1F,湯沸,2,湯沸室等,2.80 ,1.40 ,1.95 ,2.73 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,トイレ前通路,2,廊下,3.10 ,1.30 ,4.50 ,5.85 ,,埋込下面開放,,48,1,,,,,,
1F,ホール,2,ロビー,3.10 ,,,48.80 ,1.1 ,埋込下面開放,,95,11,,,,,,
1F,階段室,2,階段,3.80 ,3.60 ,6.50 ,23.40 ,,階段通路誘導灯,,48,1,,,,,,
1F,事務室,2,事務室,2.80 ,18.43 ,24.00 ,442.32 ,,埋込下面ルーバー,,95,108,,,タイマー,,,
2F,更衣･休憩(女）,2,更衣室等,2.60 ,6.50 ,2.00 ,13.00 ,,埋込下面開放,,95,2,,,,,,
2F,更衣･休憩(男）,2,更衣室等,2.60 ,3.95 ,3.00 ,11.85 ,,埋込下面開放,,95,2,,,,,,
2F,トイレ(男）,2,トイレ,2.60 ,,,8.46 ,0.5 ,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,,
2F,トイレ(男）,2,トイレ,2.60 ,,,8.46 ,0.5 ,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,トイレ(女）,2,トイレ,2.60 ,4.00 ,2.20 ,8.80 ,,ﾀﾞｳﾝﾗｲﾄ,,35,4,,,,,,
2F,トイレ(女）,2,トイレ,2.60 ,4.00 ,2.20 ,8.80 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,湯沸,2,湯沸室等,2.60 ,2.20 ,1.30 ,2.86 ,,ﾀﾞｳﾝﾗｲﾄ,,35,1,,,,,,
2F,湯沸,2,湯沸室等,2.60 ,2.20 ,1.30 ,2.86 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,トイレ前通路,2,廊下,2.60 ,,,13.52 ,0.7 ,埋込下面開放,,48,3,,,,,,
2F,ホール横通路,2,廊下,2.60 ,2.90 ,6.50 ,18.85 ,,埋込下面開放,,95,3,,,,,,
2F,ホール,2,ロビー,2.60 ,4.50 ,2.80 ,12.60 ,,埋込下面開放,,95,2,,,,,,
2F,階段室,2,階段,3.60 ,3.60 ,6.50 ,23.40 ,,階段通路誘導灯,,48,1,,,,,,
2F,事務室,2,事務室,2.60 ,18.43 ,24.00 ,442.32 ,,埋込下面ルーバー,,95,108,,,タイマー,,,
RF,ホール,2,ロビー,2.60 ,4.50 ,2.80 ,12.60 ,,埋込下面開放,,95,2,,,,,,
RF,階段室,2,階段,3.60 ,3.60 ,6.50 ,23.40 ,,階段通路誘導灯,,48,1,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
