様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
1F,ホール,事務所等,ロビー,3.54 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
1F,流し,事務所等,湯沸室等,4.50 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
1F,ＰＳ,事務所等,電気・機械室（標準）,4.50 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
1F,トイレ(男）,事務所等,トイレ,4.50 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
1F,トイレ(女）,事務所等,トイレ,4.50 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
1F,事務室,事務所等,事務室,4.50 ,3.50 ,6.75 ,14.90 ,100.20 ,,,,,
2F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
2F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
2F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
2F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
2F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
2F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
3F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
3F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
3F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
3F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
3F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
3F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
4F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
4F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
4F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
4F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
4F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
4F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
