様式 4-1. (換気)換気対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給気／排気,機器名称,,,,
,,,,,,,,,,
,,,,[㎡],,(選択),,,,
(転記),(転記),(転記),(転記),(転記),(任意),(必須),,,,
1F,トイレ(男）,事務所等,トイレ,3.5,排気,FE-2,,,,
1F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
2F,トイレ(男）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
2F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
3F,トイレ(男）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
3F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
4F,トイレ(男）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
4F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
5F,トイレ(男）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
5F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
6F,トイレ(女）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
6F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
7F,トイレ(男）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
7F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
8F,トイレ(男）,事務所等,トイレ,3.5 ,排気,FE-2,,,,
8F,トイレ(女）,事務所等,トイレ,4.6 ,排気,FE-2,,,,
1F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
2F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
3F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
4F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
5F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
6F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
7F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
8F,流し,事務所等,湯沸室等,4.5 ,排気,FE-3,,,,
