様式 2-2. (空調) 外皮仕様入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階,空調ゾーン名,外皮1,,,,,,,,外皮2,,,,,,,,外皮3,,,,,,,,外皮4,,,,,,,,外皮5,,,,,,,,外皮5,,,,,,,,外皮5,,,,,,,,外皮5,,,,,,,,外皮5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,外壁1,,,窓1,,,,,外壁2,,,窓2,,,,,外壁3,,,窓3,,,,,外壁4,,,窓4,,,,,外壁5,,,窓5,,,,,外壁5,,,窓5,,,,,外壁5,,,窓5,,,,,外壁5,,,窓5,,,,,外壁5,,,窓5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(転記),(転記),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ホール,南,■,OW1J,2.8 ,9.9 ,WNDW1,3.1 ,無,西,,OW1J,2.1 ,7.2 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF4J,-,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,事務室,北,,OW1J,6.8 ,30.4 ,WNDW1,10.5 ,明色,東,,OW1J,14.9 ,67.1 ,WNDW1,13.5 ,明色,南,,OW1J,2.6 ,11.5 ,,,,南,■,OW2,4.2 ,18.9 ,WNDW1,14.7 ,明色,西,,OW1J,6.0 ,27.0 ,,,,,,,,,,,,,,,,,,,,屋根,,RF1J,-,3.2,,,,地中,,IF4J,-,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ホール,南,■,OW1J,2.8 ,10.1 ,WNDW1,3.1 ,無,西,,OW1J,2.1 ,7.4 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,事務室,北,,OW1J,6.8 ,24.3 ,WNDW1,6.7 ,明色,東,,OW1J,13.6 ,48.9 ,WNDW1,7.7 ,明色,東,■,OW1J,1.3 ,4.8 ,WNDW1,3.4 ,明色,南,,OW1J,2.0 ,7.2 ,,,,南,■,OW2,2.4 ,8.6 ,WNDW1,3.8 ,明色,南,■,OW2,2.35,8.46,WNDW1,3.6,明色,西,■,OW1J,6,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ホール,南,■,OW1J,2.8 ,10.1 ,WNDW1,3.1 ,無,西,,OW1J,2.1 ,7.4 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,事務室,北,,OW1J,6.8 ,24.3 ,WNDW1,6.7 ,明色,東,,OW1J,13.6 ,48.9 ,WNDW1,7.7 ,明色,東,■,OW1J,1.3 ,4.8 ,WNDW1,3.4 ,明色,南,,OW1J,2.0 ,7.2 ,,,,南,■,OW2,2.4 ,8.6 ,WNDW1,3.8 ,明色,南,■,OW2,2.35,8.46,WNDW1,3.6,明色,西,■,OW1J,6,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ホール,南,■,OW1J,2.8 ,10.1 ,WNDW1,3.1 ,無,西,,OW1J,2.1 ,7.4 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
