様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熱源群名称,,冷房,,暖房,,,熱源機種,冷房熱源,,,,,,,,,暖房熱源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,冷暖同時供給有無,蓄熱有無,台数制御有無,蓄熱有無,台数制御有無,機器名称,,同一ｺｰﾄﾞ内の運転順位,台数,定格冷凍能力,定格エネルギー消費量,,,冷却塔仕様,,,同一ｺｰﾄﾞ内の運転順位,台数,定格加熱能力,定格エネルギー消費量,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,主機,補機,一次ポンプ,定格冷却能力,定格消費電力,,,,,主機,補機,一次ポンプ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(機器表の記号等）,,,,,,,,,冷却塔ファン,冷却水ポンプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(任意の文字列),(選択),(選択),(選択),(選択),(選択),,(選択),(選択),[台],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],(選択),[台],[kW/台],[*/台],[kW/台],[kW/台],,,,,,,,,,,,,,,,,,,,,,,,
（必須）,(必須),(必須),(必須),(必須),(必須),（任意）,(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),,,,,,,,,,,,,,,,,,,,,,,,
PA1,無,無,無,無,無,PAC-1,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA2,無,無,無,無,無,PAC-2,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA3,無,無,無,無,無,PAC-3,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA4,無,無,無,無,無,PAC-4,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA5,無,無,無,無,無,PAC-5,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA6,無,無,無,無,無,PAC-6,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA7,無,無,無,無,無,PAC-7,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA8,無,無,無,無,無,PAC-8,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
PA9,無,無,無,無,無,PAC-9,電気式ビル用マルチ,1,1 ,28.00 ,5.90 ,0.75 ,,,,,1,1 ,31.50 ,5.90 ,0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,
