様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,室面積,,階,空調ゾーン名,（仮想）空調機名称,,備考欄,
,,,,,,,,,,,,,
,,,,,,,,,,室負荷処理,外気負荷処理,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,[m],[m],[㎡],,,(任意の文字列),(選択),(選択),,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,(任意),(必須),(必須),(任意),(任意),
1F,ホール,事務所等,ロビー,3.5 ,2.6 ,5.7 ,,1F,ホール,PA91,PA91,,
1F,事務室,事務所等,事務室,4.50 ,3.50 ,100.20 ,,1F,事務室,PA11,PA11,,
2F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,2F,ホール,PA91,PA91,,
2F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,2F,事務室,PA21,PA21,,
3F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,3F,ホール,PA91,PA91,,
3F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,3F,事務室,PA31,PA31,,
4F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,4F,ホール,PA91,PA91,,
4F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,4F,事務室,PA41,PA41,,
5F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,5F,ホール,PA91,PA91,,
5F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,5F,事務室,PA51,PA51,,
6F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,6F,ホール,PA91,PA91,,
6F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,6F,事務室,PA61,PA61,,
7F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,7F,ホール,PA91,PA91,,
7F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,7F,事務室,PA71,PA71,,
8F,ホール,事務所等,ロビー,3.60 ,2.60 ,5.74 ,,8F,ホール,PA91,PA91,,
8F,事務室,事務所等,事務室,3.60 ,2.60 ,96.80 ,,8F,事務室,PA81,PA81,,
