様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
空調機名称,機器名称,系統名,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,送風機定格消費電力,,,,風量制御方式,VAV時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,
,,,,,,,,給気,還気,外気,排気,,,,,全熱交換機の有無,処理風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,(機器表の記号等）,,,,,,,,,,,,,,,,,,,,,,,
(任意の文字列),,,[台],(選択),[kW/台],[kW/台],[m3/h・台],[kW/台],[kW/台],[kW/台],[kW/台],(選択),［％］,(選択),(選択),(選択),[m3/h・台],［％］,(選択),[kW/台],(選択),(選択),(選択),(選択)
(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須)
PA11,PAC-1-1,1階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA1,PA1
PA21,PAC-2-1,2階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA2,PA2
PA31,PAC-3-1,3階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA3,PA3
PA41,PAC-4-1,4階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA4,PA4
PA51,PAC-5-1,5階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA5,PA5
PA61,PAC-6-1,6階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA6,PA6
PA71,PAC-7-1,7階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA7,PA7
PA81,PAC-8-1,8階事務室,3,室内機,9,10,1410 ,0.06,,,,CAV,,無,無,無,,,,,,,PA8,PA8
PA91,PAC-9-1,2階ﾎｰﾙ,8,室内機,2.8,3.2,780 ,0.06,,,,CAV,,無,無,無,,,,,,,PA9,PA9
PA11,HEU-1-1,1階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA21,HEU-2-1,2階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA31,HEU-3-1,3階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA41,HEU-4-1,4階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA51,HEU-5-1,5階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA61,HEU-6-1,6階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA71,HEU-7-1,7階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
PA81,HEU-8-1,8階事務室,1,全熱交ユニット,,,480 ,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
