様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
1F,階段室,ホテル等,廊下（終日）,3.6,3.6,3.45,6.18,21.32,,,,,
1F,ｲﾝﾀｰﾈｯﾄｺｰﾅｰ,ホテル等,ロビー（終日）,3.6,2.7,3,4.38,13.14,,,,,
1F,ﾛﾋﾞｰ･ﾌﾛﾝﾄ,ホテル等,ロビー（終日）,3.6,2.7,,,29.5,,,,,
1F,軽食ｺｰﾅｰ,ホテル等,ラウンジ（終日）,3.6,2.7,4.6,4.93,22.68,,,,,
1F,ﾊﾟﾝﾄﾘｰ,ホテル等,ラウンジ（終日）,3.6,2.7,2.55,6.05,15.43,,,,,
1F,事務室,ホテル等,事務室（終日）,3.6,2.4,,,11.1,,,,,
1F,通路,ホテル等,廊下（終日）,3.6,2.4,1.2,2.4,2.88,,,,,
1F,休憩室,ホテル等,更衣室,3.6,2.4,3.75,2.85,10.69,,,,,
1F,WC,ホテル等,トイレ（終日）,3.6,2.4,1.85,1.35,2.5,,,,,
1F,PS(E),ホテル等,電気・機械室（標準）,3.6,3.6,1.29,1.9,2.45,,,,,
1F,ﾘﾈﾝ室,ホテル等,湯沸室等,3.6,2.4,2.25,2.85,15.1,,,,,
1F,自販機,ホテル等,廊下（終日）,3.6,2.4,2.25,2.85,6.41,,,,,
1F,機械室,ホテル等,電気・機械室（標準）,3.6,3.6,3.18,6.6,20.96,,,,,
1F,廊下,ホテル等,廊下（終日）,3.6,2.5,,,23.4,,,,,
1F,ﾂｲﾝ(W),ホテル等,客室,3.6,2.4,,,19.8,,,,,
1F,ﾂｲﾝ(W)UB,ホテル等,客室(洗面）,3.6,2.4,1.85,1.5,2.78,,,,,
1F,ｼﾝｸﾞﾙ(W1),ホテル等,客室,3.6,2.4,,,12.9,,,,,
1F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室(洗面）,3.6,2.4,1.65,1.35,2.23,,,,,
1F,ｼﾝｸﾞﾙ(W2),ホテル等,客室,3.6,2.4,,,12.9,,,,,
1F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室(洗面）,3.6,2.4,1.65,1.35,2.23,,,,,
1F,ｼﾝｸﾞﾙ(W3),ホテル等,客室,3.6,2.4,,,12.9,,,,,
1F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室(洗面）,3.6,2.4,1.65,1.35,2.23,,,,,
1F,ｼﾝｸﾞﾙ(NW),ホテル等,客室,3.6,2.4,,,14,,,,,
1F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室(洗面）,3.6,2.4,1.65,1.35,2.23,,,,,
