様式 4-1. (換気)換気対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給気／排気,機器名称,,,,
,,,,,,,,,,
,,,,[㎡],,(選択),,,,
(転記),(転記),(転記),(転記),(転記),(任意),(必須),,,,
1F,機械室,ホテル等,電気・機械室（標準）,20.955,給気,FS-1,,,,
1F,ﾘﾈﾝ室,ホテル等,湯沸室等,15.1 ,給気,FS-3,,,,
2F,ﾘﾈﾝ室,ホテル等,湯沸室等,10.3 ,給気,FS-3,,,,
3F,ﾘﾈﾝ室,ホテル等,湯沸室等,10.3 ,給気,FS-3,,,,
4F,ﾘﾈﾝ室,ホテル等,湯沸室等,10.3 ,給気,FS-3,,,,
1F,機械室,ホテル等,電気・機械室（標準）,21.0 ,排気,FE-1,,,,
1F,ﾘﾈﾝ室,ホテル等,湯沸室等,15.1 ,排気,FE-3,,,,
2F,ﾘﾈﾝ室,ホテル等,湯沸室等,10.3 ,排気,FE-3,,,,
3F,ﾘﾈﾝ室,ホテル等,湯沸室等,10.3 ,排気,FE-3,,,,
4F,ﾘﾈﾝ室,ホテル等,湯沸室等,10.3 ,排気,FE-3,,,,
1F,WC,ホテル等,トイレ（終日）,2.5 ,排気,FE-4,,,,
