様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),
1F,階段室,ホテル等,廊下（終日）,3.60 ,3.45 ,6.18 ,21.32 ,,階段通路誘導灯,,95,2,,,,,,
1F,ｲﾝﾀｰﾈｯﾄｺｰﾅｰ,ホテル等,ロビー（終日）,2.70 ,3.00 ,4.38 ,13.14 ,,ﾀﾞｳﾝﾗｲﾄ,,45,6,,,,,,
1F,ﾛﾋﾞｰ･ﾌﾛﾝﾄ,ホテル等,ロビー（終日）,2.70 ,0.00 ,0.00 ,29.50 ,1.3 ,ﾀﾞｳﾝﾗｲﾄ,,95,15,,,,,,
1F,軽食ｺｰﾅｰ,ホテル等,ラウンジ（終日）,2.70 ,4.60 ,4.93 ,22.68 ,,ﾀﾞｳﾝﾗｲﾄ,,95,15,,,,,,
1F,ﾊﾟﾝﾄﾘｰ,ホテル等,ラウンジ（終日）,2.70 ,2.55 ,6.05 ,15.43 ,,ﾀﾞｳﾝﾗｲﾄ,,95,5,,,,,,
1F,事務室,ホテル等,事務室（終日）,2.40 ,0.00 ,0.00 ,11.10 ,0.9 ,埋込下面ｱｸﾘﾙ,,95,4,,,センサー,,,
1F,通路,ホテル等,廊下（終日）,2.40 ,1.20 ,2.40 ,2.88 ,,ﾀﾞｳﾝﾗｲﾄ,,35,1,,,,,,
1F,休憩室,ホテル等,更衣室,2.40 ,3.75 ,2.85 ,10.69 ,,埋込下面ｱｸﾘﾙ,,35,2,,,,,,
1F,WC,ホテル等,トイレ（終日）,2.40 ,1.85 ,1.35 ,2.50 ,,ﾀﾞｳﾝﾗｲﾄ,,40,1,,,,,,
1F,PS(E),ホテル等,電気・機械室（標準）,3.60 ,1.29 ,1.90 ,2.45 ,,反射傘付,,22,1,,,,,,
1F,ﾘﾈﾝ室,ホテル等,湯沸室等,2.40 ,2.25 ,2.85 ,15.10 ,,ﾀﾞｳﾝﾗｲﾄ,,45,5,,,,,,
1F,自販機,ホテル等,廊下（終日）,2.40 ,2.25 ,2.85 ,6.41 ,,ﾀﾞｳﾝﾗｲﾄ,,45,2,,,,,,
1F,機械室,ホテル等,電気・機械室（標準）,3.60 ,3.18 ,6.60 ,20.96 ,,反射傘付,,95,2,,,,,,
1F,廊下,ホテル等,廊下（終日）,2.50 ,0.00 ,0.00 ,23.40 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
1F,ﾂｲﾝ(W),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,19.80 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
1F,ﾂｲﾝ(W)UB,ホテル等,客室（洗面）,2.40 ,1.85 ,1.50 ,2.78 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
1F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
1F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
1F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
1F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
1F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
1F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
1F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,14.00 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
1F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,階段室,ホテル等,廊下（終日）,3.20 ,3.45 ,6.18 ,21.32 ,,階段通路誘導灯,,95,2,,,,,,
2F,収納,ホテル等,湯沸室等,2.40 ,1.68 ,2.84 ,4.75 ,,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,,
2F,ﾂｲﾝ(W),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,19.80 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
2F,ﾂｲﾝ(W)UB,ホテル等,客室（洗面）,2.40 ,1.85 ,1.50 ,2.78 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
