様式 2-2. (空調) 外皮仕様入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階,空調ゾーン名,外皮1,,,,,,,,外皮2,,,,,,,,外皮3,,,,,,,,外皮4,,,,,,,,外皮5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,外壁1,,,窓1,,,,,外壁2,,,窓2,,,,,外壁3,,,窓3,,,,,外壁4,,,窓4,,,,,外壁5,,,窓5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(転記),(転記),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ｲﾝﾀｰﾈｯﾄｺｰﾅｰ,南,,OW2H,3.0 ,10.8 ,WNDW1,7.0 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,13.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ﾛﾋﾞｰ･ﾌﾛﾝﾄ,南,,OW2H,4.0 ,14.2 ,WNDW1,4.9 ,明色,,,,,,WNDW1,4.9 ,無,,,,,,,,,,,,,,,,,地中,,IF5H,-,29.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,軽食ｺｰﾅｰ,東,,OW2H,5.0 ,17.9 ,WNDW1,2.8 ,明色,南,,OW2H,4.6 ,16.6 ,WNDW1,11.5 ,明色,,,,,,,,,,,,,,,,,地中,,IF5H,-,22.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ﾊﾟﾝﾄﾘｰ,東,,OW2H,6.0 ,21.6 ,WNDW1,2.8 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,15.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,事務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,11.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,休憩室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,10.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ﾂｲﾝ(W),西,,OW2H,3.6 ,13.0 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,19.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ｼﾝｸﾞﾙ(W)3室,西,,OW2H,7.2 ,25.9 ,WNDW1,4.2 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,38.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ｼﾝｸﾞﾙ(NW),西,,OW2H,2.6 ,9.3 ,WNDW1,1.4 ,明色,北,,OW2H,4.3 ,15.4 ,,,,,,,,,,,,,,,,,,,,地中,,IF5H,-,14.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ﾂｲﾝ(W),西,,OW2H,3.6 ,11.3 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(W)3室,西,,OW2H,7.2 ,22.7 ,WNDW1,4.2 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(NW),西,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,北,,OW2H,4.3 ,13.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(NE),東,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,北,,OW2H,6.6 ,20.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(E1),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ﾂｲﾝ(E),東,,OW2H,3.6 ,11.3 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(E2),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(E3),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,ｼﾝｸﾞﾙ(SE),東,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,南,,OW2H,4.4 ,13.9 ,WNDW1,0.7 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ﾂｲﾝ(W),西,,OW2H,3.6 ,11.3 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(W)3室,西,,OW2H,7.2 ,22.7 ,WNDW1,4.2 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(NW),西,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,北,,OW2H,4.3 ,13.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(NE),東,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,北,,OW2H,6.6 ,20.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(E1),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ﾂｲﾝ(E),東,,OW2H,3.6 ,11.3 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(E2),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(E3),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,ｼﾝｸﾞﾙ(SE),東,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,南,,OW2H,4.4 ,13.9 ,WNDW1,0.7 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ﾂｲﾝ(W),西,,OW2H,3.6 ,11.3 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,19.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(W)3室,西,,OW2H,7.2 ,22.7 ,WNDW1,4.2 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,38.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(NW),西,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,北,,OW2H,4.3 ,13.5 ,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,14.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(NE),東,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,北,,OW2H,6.6 ,20.8 ,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,14.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(E1),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,13.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ﾂｲﾝ(E),東,,OW2H,3.6 ,11.3 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,20.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(E2),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,13.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(E3),東,,OW2H,2.4 ,7.6 ,WNDW1,1.4 ,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF5H,-,13.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,ｼﾝｸﾞﾙ(SE),東,,OW2H,2.6 ,8.1 ,WNDW1,1.4 ,明色,南,,OW2H,4.4 ,13.9 ,WNDW1,0.7 ,明色,,,,,,,,,,,,,,,,,屋根,,RF5H,-,14.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
