様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,室面積,,階,空調ゾーン名,（仮想）空調機名称,,備考欄,
,,,,,,,,,,,,,
,,,,,,,,,,室負荷処理,外気負荷処理,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,[m],[m],[㎡],,,(任意の文字列),(選択),(選択),,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,(任意),(必須),(必須),(任意),(任意),
1F,ｲﾝﾀｰﾈｯﾄｺｰﾅｰ,ホテル等,ロビー（終日）,3.6 ,2.7 ,13.1 ,,1F,ｲﾝﾀｰﾈｯﾄｺｰﾅｰ,PA11,PA11,,
1F,ﾛﾋﾞｰ･ﾌﾛﾝﾄ,ホテル等,ロビー（終日）,3.60 ,2.70 ,29.50 ,,1F,ﾛﾋﾞｰ･ﾌﾛﾝﾄ,PA12,PA12,,
1F,軽食ｺｰﾅｰ,ホテル等,ラウンジ（終日）,3.60 ,2.70 ,22.68 ,,1F,軽食ｺｰﾅｰ,PA13,PA13,,
1F,ﾊﾟﾝﾄﾘｰ,ホテル等,ラウンジ（終日）,3.60 ,2.70 ,15.43 ,,1F,ﾊﾟﾝﾄﾘｰ,PA11,PA11,,
1F,事務室,ホテル等,事務室（終日）,3.60 ,2.40 ,11.10 ,,1F,事務室,PA14,PA14,,
1F,休憩室,ホテル等,更衣室,3.60 ,2.40 ,10.69 ,,1F,休憩室,PA15,PA15,,
1F,ﾂｲﾝ(W),ホテル等,客室全般,3.60 ,2.40 ,19.80 ,,1F,ﾂｲﾝ(W),AC11,AC11,,
1F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,3.60 ,2.40 ,12.90 ,,1F,ｼﾝｸﾞﾙ(W)3室,PA41,PA41,,
1F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,3.60 ,2.40 ,12.90 ,,,,,,,
1F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,3.60 ,2.40 ,12.90 ,,,,,,,
1F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,3.60 ,2.40 ,14.00 ,,1F,ｼﾝｸﾞﾙ(NW),PA91,PA91,,
2F,ﾂｲﾝ(W),ホテル等,客室全般,3.15 ,2.40 ,19.80 ,,2F,ﾂｲﾝ(W),AC11,AC11,,
2F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,2F,ｼﾝｸﾞﾙ(W)3室,AC11,AC11,,
2F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,,,,,,
2F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,,,,,,
2F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,3.15 ,2.40 ,14.00 ,,2F,ｼﾝｸﾞﾙ(NW),AC11,AC11,,
2F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,3.15 ,2.40 ,14.20 ,,2F,ｼﾝｸﾞﾙ(NE),AC11,AC11,,
2F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,3.15 ,2.40 ,13.00 ,,2F,ｼﾝｸﾞﾙ(E1),AC11,AC11,,
2F,ﾂｲﾝ(E),ホテル等,客室全般,3.15 ,2.40 ,20.40 ,,2F,ﾂｲﾝ(E),AC11,AC11,,
2F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,3.15 ,2.40 ,13.00 ,,2F,ｼﾝｸﾞﾙ(E2),AC11,AC11,,
2F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,3.15 ,2.40 ,13.00 ,,2F,ｼﾝｸﾞﾙ(E3),AC11,AC11,,
2F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,3.15 ,2.40 ,14.00 ,,2F,ｼﾝｸﾞﾙ(SE),AC11,AC11,,
3F,ﾂｲﾝ(W),ホテル等,客室全般,3.15 ,2.40 ,19.80 ,,3F,ﾂｲﾝ(W),AC11,AC11,,
3F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,3F,ｼﾝｸﾞﾙ(W)3室,AC11,AC11,,
3F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,,,,,,
3F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,,,,,,
3F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,3.15 ,2.40 ,14.00 ,,3F,ｼﾝｸﾞﾙ(NW),AC11,AC11,,
3F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,3.15 ,2.40 ,14.20 ,,3F,ｼﾝｸﾞﾙ(NE),AC11,AC11,,
3F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,3.15 ,2.40 ,13.00 ,,3F,ｼﾝｸﾞﾙ(E1),AC11,AC11,,
3F,ﾂｲﾝ(E),ホテル等,客室全般,3.15 ,2.40 ,20.40 ,,3F,ﾂｲﾝ(E),AC11,AC11,,
3F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,3.15 ,2.40 ,13.00 ,,3F,ｼﾝｸﾞﾙ(E2),AC11,AC11,,
3F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,3.2 ,2.4 ,13.0 ,,3F,ｼﾝｸﾞﾙ(E3),AC11,AC11,,
3F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,3.2 ,2.4 ,14.0 ,,3F,ｼﾝｸﾞﾙ(SE),AC11,AC11,,
4F,ﾂｲﾝ(W),ホテル等,客室全般,3.2 ,2.4 ,19.8 ,,4F,ﾂｲﾝ(W),AC11,AC11,,
4F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,4F,ｼﾝｸﾞﾙ(W)3室,AC11,AC11,,
4F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,,,,,,
4F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,3.15 ,2.40 ,12.90 ,,,,,,,
4F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,3.15 ,2.40 ,14.00 ,,4F,ｼﾝｸﾞﾙ(NW),AC11,AC11,,
4F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,3.15 ,2.40 ,14.20 ,,4F,ｼﾝｸﾞﾙ(NE),AC11,AC11,,
4F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,3.15 ,2.40 ,13.00 ,,4F,ｼﾝｸﾞﾙ(E1),AC11,AC11,,
4F,ﾂｲﾝ(E),ホテル等,客室全般,3.15,2.4 ,20.4 ,,4F,ﾂｲﾝ(E),AC11,AC11,,
4F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,3.15,2.4 ,13.0 ,,4F,ｼﾝｸﾞﾙ(E2),AC11,AC11,,
4F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,3.15,2.4 ,13.0 ,,4F,ｼﾝｸﾞﾙ(E3),AC11,AC11,,
4F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,3.15,2.4 ,14.0 ,,4F,ｼﾝｸﾞﾙ(SE),AC11,AC11,,
