様式 5-1. (給湯)給湯対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,節湯器具採否,給湯機器名称,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,[㎡],(選択),(選択),,,,
(転記),(転記),(転記),(転記),(転記),(必須),(必須),,,,
1F,軽食ｺｰﾅｰ,ホテル等,ラウンジ（終日）,22.678,,BHW,,,,
1F,ﾂｲﾝ(W),ホテル等,客室全般,19.8 ,有,BHW,,,,
1F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,12.9 ,有,BHW,,,,
1F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,12.9 ,有,BHW,,,,
1F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,12.9 ,有,BHW,,,,
1F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,14.0 ,有,BHW,,,,
2F,ﾂｲﾝ(W),ホテル等,客室全般,19.8 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,12.9 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,12.9 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,12.9 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,14.0 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,14.2 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,13.0 ,有,BHW,,,,
2F,ﾂｲﾝ(E),ホテル等,客室全般,20.4 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,13.0 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,13.0 ,有,BHW,,,,
2F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,14.0 ,有,BHW,,,,
3F,ﾂｲﾝ(W),ホテル等,客室全般,19.8 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,12.9 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,12.9 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,12.9 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,14.0 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,14.2 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,13.0 ,有,BHW,,,,
3F,ﾂｲﾝ(E),ホテル等,客室全般,20.4 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,13.0 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,13.0 ,有,BHW,,,,
3F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,14.0 ,有,BHW,,,,
4F,ﾂｲﾝ(W),ホテル等,客室全般,19.8,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,12.9,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,12.9,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,12.9,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,14,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,14.2,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,13,有,BHW,,,,
4F,ﾂｲﾝ(E),ホテル等,客室全般,20.4,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,13,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,13,有,BHW,,,,
4F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,14,有,BHW,,,,
