様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),
1F,倉庫N,物品販売業を営む店舗等,湯沸室,3.10 ,2.68 ,1.65 ,4.41 ,,逆富士,*,48,1,,,,,,
1F,サービス用階段,物品販売業を営む店舗等,バックヤード,3.10 ,0.00 ,0.00 ,12.70 ,0.5 ,階段通路誘導灯,*,95,1,,,,,,
1F,荷捌所,物品販売業を営む店舗等,バックヤード,3.10 ,4.73 ,3.98 ,18.79 ,,逆富士,*,95,2,,,,,,
1F,サービス用通路,物品販売業を営む店舗等,バックヤード,3.10 ,0.00 ,0.00 ,16.10 ,0.5 ,逆富士,*,95,2,,,,,,
1F,商品管理室,物品販売業を営む店舗等,事務室,3.10 ,2.10 ,2.25 ,4.73 ,,逆富士,*,95,1,,,,,,
1F,清掃人控室,物品販売業を営む店舗等,バックヤード,3.10 ,2.40 ,2.25 ,5.40 ,,逆富士,*,95,1,,,,,,
1F,倉庫,物品販売業を営む店舗等,湯沸室,3.10 ,0.00 ,0.00 ,81.40 ,1.3 ,逆富士,*,95,8,,,,,,
1F,機械室,物品販売業を営む店舗等,電気・機械室（標準）,3.10 ,4.43 ,7.18 ,31.75 ,,反射傘付,*,95,2,,,,,,
1F,トイレ(女),物品販売業を営む店舗等,トイレ,2.40 ,3.70 ,3.22 ,11.93 ,,ﾀﾞｳﾝﾗｲﾄ,*,35,6,,,,,,
1F,トイレ(女),物品販売業を営む店舗等,トイレ,2.40 ,3.70 ,3.22 ,11.93 ,,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
1F,身障者用トイレ,物品販売業を営む店舗等,トイレ,2.40 ,2.20 ,3.22 ,7.09 ,,ﾀﾞｳﾝﾗｲﾄ,*,35,3,,,,,,
1F,身障者用トイレ,物品販売業を営む店舗等,トイレ,2.40 ,2.20 ,3.22 ,7.09 ,,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
1F,トイレ(男),物品販売業を営む店舗等,トイレ,2.40 ,3.05 ,3.22 ,9.83 ,,ﾀﾞｳﾝﾗｲﾄ,*,35,5,,,,,,
1F,トイレ(男),物品販売業を営む店舗等,トイレ,2.40 ,3.05 ,3.22 ,9.83 ,,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
1F,階段,物品販売業を営む店舗等,ロビー,3.10 ,0.00 ,0.00 ,16.20 ,0.6 ,階段通路誘導灯,*,45,1,,,,,,
1F,階段,物品販売業を営む店舗等,ロビー,3.10 ,0.00 ,0.00 ,16.20 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,*,45,5,,,,,,
1F,倉庫S,物品販売業を営む店舗等,湯沸室,3.10 ,1.81 ,1.87 ,3.40 ,,逆富士,*,48,1,,,,,,
1F,売場,物品販売業を営む店舗等,売場（大型店）,3.10 ,0.00 ,0.00 ,325.40 ,2.8 ,ﾀﾞｳﾝﾗｲﾄ,*,45,150,,,,,,
1F,売場,物品販売業を営む店舗等,売場（大型店）,3.10 ,0.00 ,0.00 ,325.40 ,2.8 ,埋込下面ｸﾞﾘﾙ,*,94,50,,,タイマー,,,
1F,風除室,物品販売業を営む店舗等,ロビー,2.60 ,3.15 ,3.00 ,9.45 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,4,,,,,,
2F,サービス用階段,物品販売業を営む店舗等,バックヤード,2.60 ,3.20 ,5.35 ,17.12 ,,階段通路誘導灯,*,95,2,,,,,,
2F,事務室,物品販売業を営む店舗等,事務室,2.60 ,4.75 ,3.20 ,15.20 ,,埋込下面開放,*,95,4,,,タイマー,,,
2F,サービス用通路,物品販売業を営む店舗等,バックヤード,2.60 ,0.00 ,0.00 ,27.80 ,0.6 ,逆富士,*,95,3,,,,,,
2F,更衣室(男),物品販売業を営む店舗等,バックヤード,2.60 ,3.90 ,2.26 ,8.81 ,,逆富士,*,95,1,,,,,,
2F,WC(男),物品販売業を営む店舗等,トイレ,2.60 ,1.20 ,1.96 ,2.35 ,,ﾀﾞｳﾝﾗｲﾄ,*,35,1,,,,,,
2F,WC(女),物品販売業を営む店舗等,トイレ,2.60 ,1.20 ,1.96 ,2.35 ,,ﾀﾞｳﾝﾗｲﾄ,*,35,1,,,,,,
2F,更衣室(女),物品販売業を営む店舗等,バックヤード,2.60 ,3.95 ,2.26 ,8.93 ,,逆富士,*,95,1,,,,,,
2F,倉庫兼通路,物品販売業を営む店舗等,バックヤード,2.60 ,7.18 ,3.95 ,28.34 ,,逆富士,*,95,3,,,,,,
2F,売場,物品販売業を営む店舗等,売場（大型店）,2.60 ,0.00 ,0.00 ,417.90 ,3.4 ,ﾀﾞｳﾝﾗｲﾄ,*,45,180,,,,,,
2F,売場,物品販売業を営む店舗等,売場（大型店）,2.60 ,0.00 ,0.00 ,417.90 ,3.4 ,埋込下面ｸﾞﾘﾙ,*,94,58,,,タイマー,,,
2F,階段,物品販売業を営む店舗等,ロビー,2.60 ,3.50 ,5.58 ,19.51 ,,階段通路誘導灯,*,45,1,,,,,,
2F,階段,物品販売業を営む店舗等,ロビー,2.60 ,3.50 ,5.58 ,19.51 ,,ﾀﾞｳﾝﾗｲﾄ,*,45,7,,,,,,
