様式 2-2. (空調) 外皮仕様入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階,空調ゾーン名,外皮1,,,,,,,,外皮2,,,,,,,,外皮3,,,,,,,,外皮4,,,,,,,,外皮5,,,,,,,
,,,,外壁1,,,窓1,,,,,外壁2,,,窓2,,,,,外壁3,,,窓3,,,,,外壁4,,,窓4,,,,,外壁5,,,窓5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類
,,(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(転記),(転記),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意)
1F,商品管理室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SIF1,-,4.7,,,
1F,清掃人控室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SIF1,-,5.4,,,
1F,売場,東,,OW6R,14.9,59.5,,,,南,,OW6R,20.1,70.6,WNDW1,44.4,明色,,,,,,,,,,,,,,,,,地中,,SIF1,-,325.4,,,
2F,事務室,北,,OW6R,4.8,17.1,WNDW1,2.7,明色,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF6R,-,15.2,,,
2F,更衣室(男),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF6R,-,8.8,,,
2F,更衣室(女),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,RF6R,-,8.9,,,
2F,売場,北,,OW6R,8.9,32,WNDW1,5.4,明色,東,,OW6R,22.1,79.4,,,,南,,OW6R,20.1,72.3,WNDW1,45.4,明色,西,,OW6R,9,32.2,,,,屋根,,RF6R,-,417.9,,,
