様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,室面積,,階,空調ゾーン名,（仮想）空調機名称,,備考欄
,,,,,,,,,,,,
,,,,,,,,,,室負荷処理,外気負荷処理,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,[m],[m],[㎡],,,(任意の文字列),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,(任意),(必須),(必須),(任意),(任意)
1F,商品管理室,物品販売業を営む店舗等,事務室,4,3.1,4.7,,1F,商品管理室,PA31,PA31,
1F,清掃人控室,物品販売業を営む店舗等,バックヤード,4,3.1,5.4,,1F,清掃人控室,PA32,PA32,
1F,売場,物品販売業を営む店舗等,売場（大型店）,4,3.1,325.4,,1F,売場,PA11,PA11,
2F,事務室,物品販売業を営む店舗等,事務室,3.6,2.6,15.2,,2F,事務室,PA34,PA34,
2F,更衣室(男),物品販売業を営む店舗等,バックヤード,3.6,2.6,8.81,,2F,更衣室(男),PA33,PA33,
2F,更衣室(女),物品販売業を営む店舗等,バックヤード,3.6,2.6,8.93,,2F,更衣室(女),PA33,PA33,
2F,売場,物品販売業を営む店舗等,売場（大型店）,3.6,2.6,417.9,,2F,売場,PA21,PA21,
