様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
1F,見舞客玄関風除室,病院等,廊下（昼）,3.90 ,2.70 ,2.18 ,2.55 ,5.55 ,,,,,
1F,通路,病院等,廊下（昼）,3.90 ,2.70 ,,,20.50 ,,,,,
1F,トイレ(男),病院等,トイレ（昼）,3.90 ,2.70 ,,,9.10 ,,,,,
1F,PS,病院等,電気・機械室（標準）,3.90 ,2.70 ,1.08 ,0.58 ,0.62 ,,,,,
1F,トイレ(女),病院等,トイレ（昼）,3.90 ,2.70 ,,,9.60 ,,,,,
1F,カルテ庫,病院等,事務室,3.90 ,2.70 ,,,15.30 ,,,,,
1F,院長室,病院等,事務室,3.90 ,2.70 ,,,23.40 ,,,,,
1F,倉庫(大),病院等,湯沸室等,3.90 ,2.70 ,,,26.00 ,,,,,
1F,PS(倉庫(大)),病院等,電気・機械室（標準）,3.90 ,2.70 ,0.43 ,0.83 ,0.35 ,,,,,
1F,Ｘ線撮影室,病院等,中央診療（検査室）,3.90 ,2.70 ,,,31.70 ,,,,,
1F,操作室,病院等,中央診療（検査室）,3.90 ,2.70 ,2.75 ,2.68 ,7.36 ,,,,,
1F,倉庫(Ｘ線撮影室),病院等,湯沸室等,3.90 ,2.70 ,,,7.30 ,,,,,
1F,PS(倉庫(Ｘ線撮影室)),病院等,電気・機械室（標準）,3.90 ,2.70 ,0.43 ,0.83 ,0.35 ,,,,,
1F,食堂（畳部含む）,病院等,売店,3.90 ,2.70 ,,,22.40 ,,,,,
1F,PS(食堂）,病院等,電気・機械室（標準）,3.90 ,2.70 ,0.43 ,0.95 ,0.40 ,,,,,
1F,廊下,病院等,廊下（昼）,3.90 ,2.70 ,,,44.50 ,,,,,
1F,厨房,病院等,厨房,3.90 ,2.70 ,3.60 ,6.50 ,23.40 ,,,,,
1F,ﾄｲﾚ1,病院等,トイレ（昼）,3.90 ,2.70 ,1.20 ,1.80 ,2.16 ,,,,,
1F,ﾄｲﾚ2,病院等,トイレ（昼）,3.90 ,2.70 ,1.20 ,1.80 ,2.16 ,,,,,
1F,更衣室,病院等,湯沸室等,3.90 ,2.70 ,2.70 ,2.00 ,5.40 ,,,,,
1F,休憩室,病院等,トイレ（昼）,3.90 ,2.70 ,3.80 ,4.40 ,16.72 ,,,,,
1F,風除室,病院等,廊下（昼）,3.90 ,2.70 ,3.00 ,2.78 ,8.34 ,,,,,
1F,待合室,病院等,外来診療（待合室）,3.90 ,2.70 ,,,62.40 ,,,,,
1F,受付・事務室,病院等,事務室,3.90 ,2.70 ,,,20.70 ,,,,,
