様式 4-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
階,室名,建物用途,室用途,室面積,給気／排気,機器名称
,,,,,,
,,,,[㎡],,(選択)
(転記),(転記),(転記),(転記),(転記),(任意),(必須)
1F,厨房,病院等,厨房,23.4,給気,FS-1
1F,厨房,病院等,厨房,23.4,排気,FE-1
1F,更衣室,病院等,湯沸室等,5.4,排気,FE-2
1F,倉庫(階段横）,病院等,湯沸室等,16,排気,FE-3
1F,倉庫(Ｘ線撮影室),病院等,湯沸室等,7.3,排気,FE-4
1F,倉庫(大),病院等,湯沸室等,26,排気,FE-5
1F,トイレ(男),病院等,トイレ（昼）,9.1,排気,FE-6
1F,トイレ(女),病院等,トイレ（昼）,9.6,排気,FE-7
1F,ﾄｲﾚ1,病院等,トイレ（昼）,2.2,排気,FE-8
1F,ﾄｲﾚ2,病院等,トイレ（昼）,2.2,排気,FE-9
1F,脱衣室,病院等,湯沸室等,3.3,排気,FE-10
1F,ｼｬﾜｰ室,病院等,湯沸室等,2.3,排気,FE-10
1F,LPG庫,病院等,湯沸室等,5.1,排気,FE-11
1F,外倉庫1,病院等,湯沸室等,8.5,排気,FE-12
1F,ﾎﾞﾝﾍﾞ庫,病院等,湯沸室等,6.5,排気,FE-13
1F,外倉庫2,病院等,湯沸室等,7,排気,FE-14
1F,検査用ﾄｲﾚ,病院等,トイレ（昼）,2.7,排気,FE-15
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室5）,病院等,トイレ（終日）,3.4,排気,FE-16
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室6）,病院等,トイレ（終日）,3.4,排気,FE-16
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室7）,病院等,トイレ（終日）,3.4,排気,FE-16
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(宿直室）,病院等,トイレ（終日）,3.4,排気,FE-16
2F,浴室,病院等,湯沸室等,3.2,排気,FE-17
2F,脱衣室,病院等,湯沸室等,2.4,排気,FE-17
2F,ｼｬﾜｰ室,病院等,湯沸室等,2.5,排気,FE-18
2F,脱衣室(ｼｬﾜｰ),病院等,湯沸室等,4.8,排気,FE-18
2F,洗濯室・倉庫,病院等,湯沸室等,9.6,排気,FE-19
2F,車椅子用トイレ,病院等,トイレ（終日）,7.3,排気,FE-20
2F,洗面所,病院等,トイレ（終日）,5.7,排気,FE-21
2F,トイレ(男),病院等,トイレ（終日）,14.4,排気,FE-22
2F,トイレ(女),病院等,トイレ（終日）,13.4,排気,FE-23
2F,汚物室,病院等,トイレ（終日）,5,排気,FE-24
