様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),
1F,見舞客玄関風除室,病院等,廊下（昼）,2.70 ,2.18 ,2.55 ,5.55 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,2,,,,,,
1F,通路,病院等,廊下（昼）,2.70 ,0.00 ,0.00 ,20.50 ,0.2 ,ﾀﾞｳﾝﾗｲﾄ,*,60,6,,,,,,
1F,トイレ(男),病院等,廊下（昼）,2.70 ,0.00 ,0.00 ,9.10 ,0.5 ,ﾀﾞｳﾝﾗｲﾄ,*,60,3,,,,,,
1F,トイレ(男),病院等,廊下（昼）,2.70 ,0.00 ,0.00 ,9.10 ,0.5 ,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
1F,トイレ(女),病院等,トイレ（昼）,2.70 ,0.00 ,0.00 ,9.60 ,0.5 ,ﾀﾞｳﾝﾗｲﾄ,*,60,3,,,,,,
1F,トイレ(女),病院等,トイレ（昼）,2.70 ,0.00 ,0.00 ,9.60 ,0.5 ,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
1F,カルテ庫,病院等,事務室,2.70 ,0.00 ,0.00 ,15.30 ,0.7 ,埋込下面ｱｸﾘﾙ,*,95,4,,,タイマー,,,
1F,院長室,病院等,事務室,2.70 ,0.00 ,0.00 ,23.40 ,1.1 ,埋込下面ｱｸﾘﾙ,*,95,5,,,タイマー,,,
1F,倉庫(大),病院等,湯沸室等,2.70 ,0.00 ,0.00 ,26.00 ,0.9 ,埋込下面ｱｸﾘﾙ,*,95,8,,,タイマー,,,
1F,Ｘ線撮影室,病院等,中央診療（検査室）,2.70 ,0.00 ,0.00 ,31.70 ,1.0 ,埋込下面ｱｸﾘﾙ,*,95,8,,,タイマー,,,
1F,操作室,病院等,中央診療（検査室）,2.70 ,2.75 ,2.68 ,7.36 ,,埋込下面ｱｸﾘﾙ,*,95,2,,,タイマー,,,
1F,倉庫(Ｘ線撮影室),病院等,湯沸室等,2.70 ,0.00 ,0.00 ,7.30 ,0.5 ,逆富士,*,95,1,,,,,,
1F,食堂（畳部含む）,病院等,売店,2.70 ,0.00 ,0.00 ,22.40 ,1.3 ,埋込下面ｱｸﾘﾙ,*,95,6,,,タイマー,,,
1F,廊下,病院等,廊下（昼）,2.70 ,0.00 ,0.00 ,44.50 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,*,60,8,,,,,,
1F,厨房,病院等,厨房,2.70 ,3.60 ,6.50 ,23.40 ,,埋込下面ｱｸﾘﾙ,*,95,6,,,タイマー,,,
1F,ﾄｲﾚ1,病院等,トイレ（昼）,2.70 ,1.20 ,1.80 ,2.16 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
1F,ﾄｲﾚ2,病院等,トイレ（昼）,2.70 ,1.20 ,1.80 ,2.16 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
1F,更衣室,病院等,湯沸室等,2.70 ,2.70 ,2.00 ,5.40 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,2,,,,,,
1F,休憩室,病院等,トイレ（昼）,2.70 ,3.80 ,4.40 ,16.72 ,,埋込下面ｱｸﾘﾙ,*,95,3,,,タイマー,,,
1F,風除室,病院等,廊下（昼）,2.70 ,3.00 ,2.78 ,8.34 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,2,,,,,,
1F,待合室,病院等,外来診療（待合室）,2.70 ,0.00 ,0.00 ,62.40 ,1.2 ,埋込下面ｱｸﾘﾙ,*,95,18,,,タイマー,,,
1F,受付・事務室,病院等,事務室,2.70 ,0.00 ,0.00 ,20.70 ,1.1 ,埋込下面ｱｸﾘﾙ,*,95,5,,,タイマー,,,
1F,薬局,病院等,事務室,2.70 ,2.15 ,2.18 ,4.68 ,,埋込下面ｱｸﾘﾙ,*,95,2,,,タイマー,,,
1F,中待合室,病院等,外来診療（待合室）,2.70 ,0.00 ,0.00 ,58.10 ,0.9 ,埋込下面ｱｸﾘﾙ,*,95,13,,,タイマー,,,
1F,診察室,病院等,外来診療（診察室）,2.70 ,0.00 ,0.00 ,42.40 ,1.6 ,埋込下面ｱｸﾘﾙ,*,95,13,,,タイマー,,,
1F,検査ｺｰﾅｰ,病院等,中央診療（検査室）,2.70 ,1.65 ,2.30 ,3.80 ,,埋込下面ｱｸﾘﾙ,*,95,1,,,タイマー,,,
1F,検査用ﾄｲﾚ,病院等,トイレ（昼）,2.70 ,1.65 ,1.65 ,2.72 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,1,,,,,,
1F,救急処置室,病院等,中央診療（手術室）,2.70 ,3.68 ,5.88 ,21.59 ,,埋込下面ｱｸﾘﾙ,*,95,9,,,タイマー,,,
1F,ギブス室,病院等,外来診療（診察室）,2.70 ,2.65 ,5.88 ,15.57 ,,埋込下面ｱｸﾘﾙ,*,95,6,,,タイマー,,,
1F,リハビリ室,病院等,中央診療（検査室）,2.70 ,0.00 ,0.00 ,70.20 ,1.5 ,埋込下面ｱｸﾘﾙ,*,95,24,,,タイマー,,,
1F,脱衣室,病院等,湯沸室等,2.70 ,2.20 ,1.50 ,3.30 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
1F,ｼｬﾜｰ室,病院等,湯沸室等,2.70 ,2.20 ,1.06 ,2.33 ,,ﾌﾞﾗｹｯﾄ,*,40,1,,,,,,
