様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
空調機名称,機器名称,系統名,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,送風機定格消費電力,,,,風量制御方式,VAV時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,
,,,,,,,,給気,還気,外気,排気,,,,,全熱交換機の有無,処理風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,(機器表の記号等）,,,,,,,,,,,,,,,,,,,,,,,
(任意の文字列),,,[台],(選択),[kW/台],[kW/台],[m3/h・台],[kW/台],[kW/台],[kW/台],[kW/台],(選択),［％］,(選択),(選択),(選択),[m3/h・台],［％］,(選択),[kW/台],(選択),(選択),(選択),(選択)
(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須)
P101,PAC-1-1,1階待合室,3,室内機,4.50 ,5.00 ,900 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P102,PAC-1-2,1階 薬局,1,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P103,PAC-1-3,1階 受付・事務室,3,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P104,PAC-1-4,1階 診察室・検査室,3,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P105,PAC-1-5,1階 救急処置室,1,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P106,PAC-1-6,1階 ｷﾞﾌﾟｽ室,1,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P107,PAC-1-7,1階 ﾘﾊﾋﾞﾘ室,2,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P108,PAC-1-8,1階 ｶﾙﾃ庫,1,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P109,PAC-1-9,1階 院長室,1,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P110,PAC-1-10,1階 中待合室,3,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P111,PAC-1-11,1階 操作室,1,室内機,2.80 ,3.20 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P112,PAC-1-12,1階 食堂,1,室内機,5.60 ,6.30 ,960 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P113,PAC-1-13,1階 休憩室,1,室内機,3.60 ,4.00 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA1,PA1
P201,PAC-2-1,2階 病室(4床角),1,室内機,5.60 ,6.30 ,960 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA2,PA2
P202,PAC-2-2,2階 病室(4床),3,室内機,4.50 ,5.00 ,900 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA2,PA2
P203,PAC-2-3,2階 病室(1床),3,室内機,2.20 ,2.50 ,540 ,0.05 ,,,,CAV,,無,無,無,,,,,,,PA2,PA2
P204,PAC-2-4,2階 宿直室,1,室内機,2.20 ,2.50 ,540 ,0.05 ,,,,CAV,,無,無,無,,,,,,,PA2,PA2
P205,PAC-2-5,2階 ﾛﾋﾞｰ,1,室内機,4.50 ,5.00 ,900 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA2,PA2
P206,PAC-2-6,2階 ｽﾀｯﾌﾙｰﾑ,2,室内機,3.60 ,4.00 ,780 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA2,PA2
P301,PAC-3-1,2階 手術室,2,室内機,5.60 ,6.30 ,960 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA3,PA3
P302,PAC-3-2,2階 滅菌室,1,室内機,5.60 ,6.30 ,960 ,0.06 ,,,,CAV,,無,無,無,,,,,,,PA3,PA3
AC11,AC-1,1階 Ｘ線撮影室,1,室内機,4.50 ,5.00 ,900 ,0.06 ,,,,CAV,,無,無,無,,,,,,,AC1,AC1
P101,HEU1,1階待合室,1,全熱交ユニット,,,500 ,,,0.24 ,,CAV,,無,無,有,500 ,67.5,有,0.0 ,,,,
P103,HEU2,1階 受付・事務室,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P102,HEU3,1階 薬局,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P108,HEU4,1階 ｶﾙﾃ庫,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P109,HEU5,1階 院長室,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P111,HEU6,1階 操作室,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P112,HEU7,1階 食堂,1,全熱交ユニット,,,500 ,,,0.24 ,,CAV,,無,無,有,500 ,67.5,有,0.0 ,,,,
P113,HEU8,1階 休憩室,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P104,HEU9,1階 診察室・検査室,1,全熱交ユニット,,,350 ,,,0.19 ,,CAV,,無,無,有,350 ,68,有,0.0 ,,,,
P105,HEU10,1階 救急処置室,1,全熱交ユニット,,,150 ,,,0.10 ,,CAV,,無,無,有,150 ,67,有,0.0 ,,,,
P106,HEU11,1階 ｷﾞﾌﾟｽ室,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P107,HEU12,1階 ﾘﾊﾋﾞﾘ室,1,全熱交ユニット,,,500 ,,,0.24 ,,CAV,,無,無,有,500 ,67.5,有,0.0 ,,,,
P110,HEU13,1階 中待合室,1,全熱交ユニット,,,500 ,,,0.24 ,,CAV,,無,無,有,500 ,67.5,有,0.0 ,,,,
AC11,HEU14,1階 Ｘ線撮影室,1,全熱交ユニット,,,250 ,,,0.17 ,,CAV,,無,無,有,250 ,70,有,0.0 ,,,,
P205,HEU15,2階 ﾛﾋﾞｰ,1,全熱交ユニット,,,150 ,,,0.10 ,,CAV,,無,無,有,150 ,67,有,0.0 ,,,,
P206,HEU16,2階 ｽﾀｯﾌﾙｰﾑ,1,全熱交ユニット,,,250 ,,,0.17 ,,CAV,,無,無,有,250 ,70,有,0.0 ,,,,
P204,HEU17,2階 宿直室,1,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P203,HEU18,2階 病室(1床),3,全熱交ユニット,,,100 ,,,0.10 ,,CAV,,無,無,有,100 ,67,有,0.0 ,,,,
P201,HEU19,2階 病室(4床角),1,全熱交ユニット,,,150 ,,,0.10 ,,CAV,,無,無,有,150 ,67,有,0.0 ,,,,
P202,HEU20,2階 病室(4床),3,全熱交ユニット,,,150 ,,,0.10 ,,CAV,,無,無,有,150 ,67,有,0.0 ,,,,
P302,HEU21,2階 滅菌室,1,全熱交ユニット,,,150 ,,,0.10 ,,CAV,,無,無,有,150 ,67,有,0.0 ,,,,
P301,HEU22,2階 手術室,1,全熱交ユニット,,,350 ,,,0.19 ,,CAV,,無,無,有,350 ,68,有,0.0 ,,,,
