様式 4-2. (換気)給排気送風機入力シート,,,,,
,,,,,
,,,,,
,,,制御による補正,,
,,,高効率電動機の有無,インバータの有無,送風量制御
機器名称,定格風量,電動機,,,
,,定格出力,,,
,,,,,
(任意の文字列),[?/h],[kW],(選択）,(選択）,(選択）
(必須),(任意),(必須),(必須),(必須),(必須)
FS-ER-BF,2190,0.75 ,,,温度制御
FS-GE-BF,1650,0.75 ,,,
FS-MR-BF,3110,1.50 ,,,
FS-MDF-BF,650,0.40 ,,,
FS-FP-BF,430,0.10 ,,,
FS-EV2-RF,2100,1.50 ,,,温度制御
FS-EV1-RF,6200,1.50 ,,,温度制御
OAC-RS-9F,11400,11.00 ,,有,
ACP-KT-9F,1920,0.16 ,,,
FE-1-1･･8F,3000,0.75 ,,,
FE-2-1･･8F,1600,0.75 ,,,温度制御
FE-WC1-1･･8F,580,0.10 ,,,温度制御
FE-WC2-1･･8F,680,0.10 ,,,温度制御
FE-HW-1･･8F,60,0.05 ,,,
FE-ST-1･･8F,60,0.05 ,,,
FE-EN-1F,600,0.10 ,,,
FE-RS-9F,4380,0.75 ,,,
FE-WC1-9F,580,0.10 ,,,温度制御
FE-WC2-9F,680,0.10 ,,,温度制御
FE-HW-9F,60,0.05 ,,,温度制御
FE-ST-9F,60,0.05 ,,,
FE-RT-9F,11400,3.70 ,,,
FE-ER-BF,2190,0.75 ,,,温度制御
FE-GE-BF,1650,0.40 ,,,
FE-MR-BF,3110,0.75 ,,,
FE-MDF-BF,650,0.15 ,,,
FE-FP-BF,430,0.10 ,,,
FE-ST1-BF,1680,0.40 ,,,
FE-ST2-BF,210,0.10 ,,,
FE-ST3-BF,390,0.10 ,,,
FE-WC-BF,170,0.10 ,,,
FE-SW-BF,100,0.10 ,,,
FE-LC-BF,130,0.10 ,,,
FE-EV2-RF,2100,0.40 ,,,温度制御
FE-EV1-RF,6200,0.40 ,,,温度制御
