様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),
B1F,受水槽室,事務所等,電気・機械室（標準）,5.50 ,9.40 ,9.70 ,91.20 ,,反射笠付,,95,4,,,,,,
B1F,機械室,事務所等,電気・機械室（標準）,5.50 ,,,238.50 ,0.9 ,反射笠付,,95,7,,,,,,
B1F,機械室,事務所等,電気・機械室（標準）,5.50 ,,,238.50 ,0.9 ,反射笠付,,48,2,,,,,,
B1F,発電機室,事務所等,電気・機械室（標準）,5.50 ,12.10 ,5.80 ,70.20 ,,反射笠付,,95,3,,,,,,
B1F,電気室,事務所等,電気・機械室（高発熱）,5.50 ,8.40 ,9.50 ,79.80 ,,反射笠付,,95,4,,,,,,
B1F,MDF室,事務所等,電気・機械室（高発熱）,5.50 ,2.60 ,8.40 ,21.80 ,,反射笠付,,95,1,,,,,,
B1F,中央監視室,事務所等,中央監視室,4.80 ,6.80 ,12.50 ,85.00 ,,埋込下面ルーバー,,94,24,,,,,,
B1F,清掃員控室,事務所等,更衣室等,2.60 ,5.20 ,4.30 ,22.40 ,,埋込下面開放,,95,4,,,,,,
B1F,廊下,事務所等,廊下,2.40 ,,,80.90 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,,48,24,,,,,,
B1F,階段室Ｎ,事務所等,階段,5.50 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
B1F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
B1F,ＤＳ,事務所等,電気・機械室（標準）,5.50 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
B1F,書庫,事務所等,更衣室等,2.60 ,3.30 ,6.70 ,22.10 ,,直付富士型,,95,3,,,,,,
B1F,ＰＳ1,事務所等,電気・機械室（標準）,5.50 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
B1F,倉庫1,事務所等,更衣室等,5.50 ,2.80 ,5.80 ,16.20 ,,直付富士型,,95,2,,,,,,
B1F,倉庫2,事務所等,更衣室等,5.50 ,0.00 ,0.00 ,45.20 ,0.4 ,直付富士型,,95,5,,,,,,
B1F,ＰＳ2,事務所等,電気・機械室（標準）,5.50 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
B1F,便所,事務所等,トイレ,2.40 ,2.80 ,2.80 ,7.80 ,,ﾀﾞｳﾝﾗｲﾄ,,48,4,,,,,,
B1F,便所,事務所等,トイレ,2.40 ,2.80 ,2.80 ,7.80 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
B1F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.40 ,3.20 ,7.70 ,,埋込下面開放,,95,1,,,,,,
B1F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.40 ,3.20 ,7.70 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
B1F,ｼｬﾜｰ室,事務所等,湯沸室等,2.40 ,3.00 ,2.80 ,8.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,4,,,,,,
B1F,更衣室,事務所等,更衣室等,2.60 ,,,12.00 ,0.6 ,埋込下面開放,,95,2,,,,,,
B1F,消火ﾎﾟﾝﾌﾟ室,事務所等,電気・機械室（標準）,5.50 ,3.60 ,4.40 ,15.00 ,,直付富士型,,48,2,,,,,,
B1F,倉庫3,事務所等,更衣室等,5.50 ,2.60 ,3.60 ,9.40 ,,直付富士型,,95,1,,,,,,
B1F,階段室S,事務所等,階段,5.50 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
1F,1F事務室,事務所等,事務室,2.60 ,,,605.20 ,5.3 ,埋込下面ルーバー,,94,158,,,センサー,,両側採光、ブラインド自動制御なし,
1F,1F事務室,事務所等,事務室,2.60 ,,,605.20 ,5.3 ,埋込下面ルーバー,,47,40,,,,,,
1F,警備員室,事務所等,中央監視室,2.60 ,3.30 ,5.40 ,17.80 ,,埋込下面ルーバー,,94,4,,,,,,
1F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
1F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
1F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
1F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
1F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
1F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
1F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
1F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
