様式 2-2. (空調) 外皮仕様入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階,空調ゾーン名,外皮1,,,,,,,,外皮2,,,,,,,,外皮3,,,,,,,,外皮4,,,,,,,,外皮5,,,,,,,
,,,,外壁1,,,窓1,,,,,外壁2,,,窓2,,,,,外壁3,,,窓3,,,,,外壁4,,,窓4,,,,,外壁5,,,窓5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類,方位, 庇,外壁の名称,外壁長さ,外皮面積(窓含),窓名称,窓面積,ブラインド種類
,,(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択),(選択),(選択),(選択),[m],[m2],(選択),[m2],(選択)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(転記),(転記),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意),(必須),(必須),(必須),(任意)
B1F,中央監視室,東,,OW1,6.8,37.4,WNDW1,9.5,明色,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,12.5,68.8,,,
B1F,清掃員控室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,4.3,23.7,,,
B1F,書庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,3.3,18.2,,,
B1F,更衣室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,2.2,12.1,,,
1F,1F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,11.6,46.4,WNDW1,8.1,明色,,,,,,,,,,,,,,,,
1F,警備員室,南,,OW1,5.4,21.6,WNDW1,8.1,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,北,■,OW1,9,72,WNDW1,52.5,明色,南,■,OW1,9,72,WNDW1,39.3,明色,西,,OW1,22.4,179.2,WNDW1,52.5,明色,,,,,,,,,,,,,,,,
2F,2F会議室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
3F,3F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
3F,3FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,4F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
4F,4FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5F,5F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
5F,5FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6F,6F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
6F,6FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7F,7F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
7F,7FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8F,8F事務室,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,29.3,117.2,WNDW1,45.4,明色,,,,,,,,,,,,,,,,,,,,,,,,
8F,セミナールーム,南,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,7.7,30.8,WNDW1,11.3,明色,,,,,,,,,,,,,,,,,,,,,,,,
8F,8FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9F,9F食堂,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,屋根,,OR1,,520.4,,,
9F,9FEVﾎｰﾙ,西,,OW1,11,44,WNDW1,16.4,無,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,OR1,,37.4,,,
