様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熱源群名称,,冷房,,暖房,,,熱源機種,冷房熱源,,,,,,,,,暖房熱源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,冷暖同時供給有無,蓄熱有無,台数制御有無,蓄熱有無,台数制御有無,機器名称,,同一ｺｰﾄﾞ内の運転順位,台数,定格冷凍能力,定格エネルギー消費量,,,冷却塔仕様,,,同一ｺｰﾄﾞ内の運転順位,台数,定格加熱能力,定格エネルギー消費量,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,主機,補機,一次ポンプ,定格冷却能力,定格消費電力,,,,,主機,補機,一次ポンプ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(機器表の記号等）,,,,,,,,,冷却塔ファン,冷却水ポンプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(任意の文字列),(選択),(選択),(選択),(選択),(選択),,(選択),(選択),[台],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],(選択),[台],[kW/台],[*/台],[kW/台],[kW/台],,,,,,,,,,,,,,,,,,,,,,,,
（必須）,(必須),(必須),(必須),(必須),(必須),（任意）,(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),,,,,,,,,,,,,,,,,,,,,,,,
AHP,無,無,有,無,有,AHP-1,空冷ヒートポンプ（スクロール，圧縮機台数制御）,1,1 ,265.00 ,74.00 ,4.80 ,3.70 ,,,,1,1 ,280.00 ,74.00 ,4.80 ,3.70 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AHP-2,,2,1 ,265.00 ,74.00 ,4.80 ,3.70 ,,,,2,1 ,280.00 ,74.00 ,4.80 ,3.70 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AHP-3,,3,1 ,265.00 ,74.00 ,4.80 ,3.70 ,,,,3,1 ,280.00 ,74.00 ,4.80 ,3.70 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AHP-4,,4,1 ,265.00 ,74.00 ,4.80 ,3.70 ,,,,4,1 ,280.00 ,74.00 ,4.80 ,3.70 ,,,,,,,,,,,,,,,,,,,,,,,,
ACCO,無,無,無,無,無,ACP-CN-BF,電気式ビル用マルチ,1,1 ,14.00 ,3.75 ,0.19 ,,,,,1,1 ,16.00 ,3.75 ,0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,
ACSO,無,無,無,無,無,ACP-ST-BF,電気式ビル用マルチ,1,1 ,14.00 ,3.75 ,0.19 ,,,,,1,1 ,16.00 ,3.75 ,0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,
ACKO,無,無,無,無,無,ACP-KB-BF,電気式ビル用マルチ,1,1 ,4.50 ,1.50 ,0.07 ,,,,,1,1 ,5.00 ,1.50 ,0.07 ,,,,,,,,,,,,,,,,,,,,,,,,,
ACRO,無,無,無,無,無,ACP-RT-BF,電気式ビル用マルチ,1,1 ,14.00 ,3.75 ,0.19 ,,,,,1,1 ,14.00 ,3.75 ,0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,
