様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,室面積,,階,空調ゾーン名,（仮想）空調機名称,,備考欄,
,,,,,,,,,,,,,
,,,,,,,,,,室負荷処理,外気負荷処理,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,[m],[m],[㎡],,,(任意の文字列),(選択),(選択),,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,(任意),(必須),(必須),(任意),(任意),
B1F,中央監視室,事務所等,中央監視室,5.5 ,4.8 ,85.0 ,,B1F,中央監視室,ACCI,ACCI,,
B1F,清掃員控室,事務所等,更衣室等,5.50 ,2.60 ,22.40 ,,B1F,清掃員控室,FCU6,FCU6,,
B1F,書庫,事務所等,更衣室等,5.50 ,2.60 ,22.10 ,,B1F,書庫,ACSI,ACSI,,
B1F,更衣室,事務所等,更衣室等,5.50 ,2.60 ,12.00 ,,B1F,更衣室,FCU4,FCU4,,
1F,1F事務室,事務所等,事務室,4.00 ,2.60 ,605.20 ,,1F,1F事務室,AC1F,AC1F,,
1F,警備員室,事務所等,中央監視室,4.00 ,2.60 ,17.80 ,,1F,警備員室,ACKI,ACKI,,
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,事務所等,ロビー,8.00 ,6.40 ,201.60 ,,1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,ACEN,ACEN,,
1F,1FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,1F,1FEVﾎｰﾙ,FCU8,FCU8,,
2F,2F会議室,事務所等,会議室,4.00 ,2.60 ,623.00 ,,2F,2F会議室,AC2F,AC2F,,
2F,2FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,2F,2FEVﾎｰﾙ,FCU8,FCU8,,
3F,3F事務室,事務所等,事務室,4.00 ,2.60 ,623.00 ,,3F,3F事務室,AC3F,AC3F,,
3F,3FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,3F,3FEVﾎｰﾙ,FCU8,FCU8,,
4F,4F事務室,事務所等,事務室,4.00 ,2.60 ,623.00 ,,4F,4F事務室,AC4F,AC4F,,
4F,4FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,4F,4FEVﾎｰﾙ,FCU8,FCU8,,
5F,5F事務室,事務所等,事務室,4.00 ,2.60 ,623.00 ,,5F,5F事務室,AC5F,AC5F,,
5F,5FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,5F,5FEVﾎｰﾙ,FCU8,FCU8,,
6F,6F事務室,事務所等,事務室,4.00 ,2.60 ,623.00 ,,6F,6F事務室,AC6F,AC6F,,
6F,6FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,6F,6FEVﾎｰﾙ,FCU8,FCU8,,
7F,7F事務室,事務所等,事務室,4.00 ,2.60 ,623.00 ,,7F,7F事務室,AC7F,AC7F,,
7F,7FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,7F,7FEVﾎｰﾙ,FCU8,FCU8,,
8F,8F事務室,事務所等,事務室,4.00 ,2.60 ,495.10 ,,8F,8F事務室,AC8F,AC8F,,
8F,セミナールーム,事務所等,事務室,4.00 ,2.60 ,127.90 ,,8F,セミナールーム,AC8F,AC8F,,
8F,8FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,8F,8FEVﾎｰﾙ,FCU8,FCU8,,
9F,9F食堂,事務所等,社食,4.00 ,2.60 ,520.40 ,,9F,9F食堂,FCU8,OCRS,,
9F,9FEVﾎｰﾙ,事務所等,ロビー,4.00 ,2.40 ,37.40 ,,9F,9FEVﾎｰﾙ,FCU8,FCU8,,
