様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
空調機名称,機器名称,系統名,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,送風機定格消費電力,,,,風量制御方式,VAV時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,
,,,,,,,,給気,還気,外気,排気,,,,,全熱交換機の有無,処理風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,(機器表の記号等）,,,,,,,,,,,,,,,,,,,,,,,
(任意の文字列),,,[台],(選択),[kW/台],[kW/台],[m3/h・台],[kW/台],[kW/台],[kW/台],[kW/台],(選択),［％］,(選択),(選択),(選択),[m3/h・台],［％］,(選択),[kW/台],(選択),(選択),(選択),(選択)
(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須),(必須)
AC1F,AC-1-1,1階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC1F,AC-2-1,1階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC1F,AC-P-1,1階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC2F,AC-1-2,2階会議室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC2F,AC-2-2,2階会議室,1,空調機,37.2,13.2,4100,7.5,5.5,,,VAV,30,有,有,有,3750,70,有,,PCH2,PCH2,AHP,AHP
AC2F,AC-P-2,2階会議室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC3F,AC-1-3,3階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC3F,AC-2-3,3階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC3F,AC-P-3,3階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC4F,AC-1-4,4階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC4F,AC-2-4,4階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC4F,AC-P-4,4階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC5F,AC-1-5,5階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC5F,AC-2-5,5階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC5F,AC-P-5,5階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC6F,AC-1-6,6階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC6F,AC-2-6,6階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC6F,AC-P-6,6階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC7F,AC-1-7,7階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC7F,AC-2-7,7階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC7F,AC-P-7,7階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC8F,AC-1-8,8階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC8F,AC-2-8,8階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC8F,AC-P-8,8階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
ACEN,AC-EN-1F,1階ｴﾝﾄﾗﾝｽﾎｰﾙ,1,空調機,36.2,36.8,8200,7.5,,,,VAV,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP
OCRS,OAC-RS-9F,9階食堂,1,空調機,83.3,67.2,5760,7.5,,,,VAV,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP
FCU4,FCU-4CK2,B1F　更衣室,1,FCU,2.1,2.89,640,0.08,,,,CAV,,無,無,無,,,,,PCH2,PCH2,AHP,AHP
FCU6,FCU-6CK2,B1F　清掃員控室,1,FCU,2.93,4.13,960,0.11,,,,CAV,,無,無,無,,,,,PCH2,PCH2,AHP,AHP
FCU6,HEU-CL-BF,B1F　清掃員控室,1,全熱交ユニット,,,210,,,0.17,,CAV,,無,無,有,210,60,有,,,,,
FCU8,FCU-8CID,各室,23,FCU,3.94,5.98,1120,0.13,,,,CAV,,無,無,無,,,,,PCH2,PCH2,AHP,AHP
ACCI,ACP-CN-BF,B1F 中央監視室,1,室内機,14,16,1800,0.16,,,,CAV,,無,無,無,,,,,,,ACCO,ACCO
ACCI,HEU-CN-BF,B1F 中央監視室,1,全熱交ユニット,,,480,,,0.17,,CAV,,無,無,有,480,60,有,,,,,
ACSI,ACP-ST-BF,B1F 書庫,1,室内機,4.5,5,720,0.09,,,,CAV,,無,無,無,,,,,,,ACSO,ACSO
ACKI,ACP-KB-1F,1F 警備員室,1,室内機,4.5,5,720,0.09,,,,CAV,,無,無,無,,,,,,,ACKO,ACKO
ACKI,HEU-KB-1F,1F 警備員室,1,全熱交ユニット,,,270,,,0.17,,CAV,,無,無,有,270,60,有,,,,,
