様式 5-1. (給湯)給湯対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,節湯器具採否,給湯機器名称,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,[㎡],(選択),(選択),,,,
(転記),(転記),(転記),(転記),(転記),(必須),(必須),,,,
B1F,中央監視室,事務所等,中央監視室,85,有,EH3,,,,
,,,,,,EH4,,,,
B1F,清掃員控室,事務所等,更衣室等,22.4 ,有,EH3,,,,
,,,,,,EH4,,,,
1F,1F事務室,事務所等,事務室,605.2 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
1F,警備員室,事務所等,中央監視室,17.8 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
2F,2F会議室,事務所等,会議室,623.0 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
3F,3F事務室,事務所等,事務室,623.0 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
4F,4F事務室,事務所等,事務室,623.0 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
5F,5F事務室,事務所等,事務室,623.0 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
6F,6F事務室,事務所等,事務室,623.0 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
7F,7F事務室,事務所等,事務室,623.0 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
8F,8F事務室,事務所等,事務室,495.1 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
8F,セミナールーム,事務所等,事務室,127.9 ,有,EH1,,,,
,,,,,,EH2,,,,
,,,,,,EH3,,,,
9F,9F食堂,事務所等,社食,520.4 ,,EH5,,,,
