様式 4-1. (給湯)給湯対象室入力シート,,,,,,,
,,,,,,,
,,,,,,,
①,①,①,①,①,②,③,④
,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[㎡],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)
,,,,,,,
1,玄関ホール,事務所等,ロビー,16.2,,無,WHE-1
1,閲覧コーナー,事務所等,事務室,28.66,,無,WHE-1
1,待合室1,事務所等,事務室,77.48,,無,WHE-1
1,乙号委託スペース,事務所等,事務室,49.81,,無,WHE-1
1,登録部門,事務所等,事務室,158.19,,無,WHE-1
2,ホール,事務所等,ロビー,16.2,,無,WHE-1
2,待合室2,事務所等,事務室,19.44,,無,WHE-1
2,相談室1,事務所等,事務室,16.2,,無,WHE-1
2,人権委員室,事務所等,事務室,21.87,,無,WHE-1
2,相談室2,事務所等,事務室,17.82,,無,WHE-1
2,会議室,事務所等,会議室,50.8,,無,WHE-1
2,総務課,事務所等,事務室,95.44,,無,WHE-1
2,支局長室,事務所等,事務室,28.62,,無,WHE-1
2,喫煙室,事務所等,ロビー,14.04,,無,WHE-1
,,,,,,,
