様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1,閲覧コーナー,西,,,OW1,39.96,OG1,16.6,有
1,待合室1,西,,,OW1,28.12,OG1,19.4,有
1,登録部門,東,,,OW1,66.6,OG1,27.7,有
1,書庫1,南,,,OW1,59.94,OG1,11.2,有
,,東,,,OW1,59.94,OG1,11.2,有
,,北,,,OW1,9.99,,,
1,休憩更衣室,西,,,OW1,26.64,OG1,5.6,有
1,階段自販機室,西,,,OW1,29.97,OG1,21.7,無
,,北,,,OW1,13.32,OG1,11.3,無
2,相談室1,東,,,OW1,16.65,OG1,7.65,有
,,水平,,,RF1,16.2,,,
2,人権委員室,東,,,OW1,13.32,OG1,5,有
,,北,,,OW1,19.98,OG1,2,有
,,水平,,,RF1,21.87,,,
2,相談室2,東,,,OW1,19.98,OG1,9.18,有
,,水平,,,RF1,17.82,,,
2,会議室,西,,,OW1,33.3,OG1,13.77,有
,,水平,,,RF1,58.8,,,
2,総務課,東,,,OW1,26.64,OG1,12.24,有
,,水平,,,RF1,89.49,,,
2,支局長室,東,,,OW1,19.98,OG1,9.18,有
,,水平,,,RF1,28.62,,,
2,女子休憩更衣室,西,,,OW1,13.32,OG1,6.12,有
,,水平,,,RF1,19.44,,,
2,男子休憩更衣室,西,,,OW1,9.99,OG1,5,有
,,水平,,,RF1,14.58,,,
2,喫煙室,北,,,OW1,13.32,OG1,6.12,有
,,水平,,,RF1,14.04,,,
,,水平,,,OF1,1.1,,,
2,書庫2,西,,,OW1,59.94,OG1,11.2,有
,,南,,,OW1,76.59,OG1,14,有
,,東,,,OW1,59.94,OG1,11.2,有
,,北,,,OW1,9.99,,,
,,水平,,,RF1,335.34,,,
2,ホール,水平,,,RF1,16.2,,,
2,待合室2,水平,,,RF1,19.44,,,
2,印刷室,水平,,,RF1,20.01,,,
2,廊下,水平,,,RF1,30.3,,,
2,便所前廊下2,水平,,,RF1,9.72,,,
2,通路,水平,,,RF1,8.1,,,
,,,,,,,,,
