様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
1,玄関ホール,事務所等,ロビー,16.2,3.7,2.6,1,玄関ホール,AC1F-05,AC1F-05,
1,便所前廊下1,事務所等,廊下,9.72,3.7,2.6,1,便所前廊下1,AC1F-05,AC1F-05,
1,閲覧コーナー,事務所等,事務室,28.66,3.7,2.6,1,閲覧コーナー,AC1F-03,AC1F-03,
1,待合室1,事務所等,事務室,77.48,3.7,2.6,1,待合室1,AC1F-01,AC1F-01,
1,乙号委託スペース,事務所等,事務室,49.81,3.7,2.6,1,乙号委託スペース,AC1F-03,AC1F-03,
1,登録部門,事務所等,事務室,158.19,3.7,2.6,1,登録部門,AC1F-02,AC1F-02,
1,書庫1,事務所等,更衣室,270.54,3.7,3,1,書庫1,AC1F-04,AC1F-04,
1,休憩更衣室,事務所等,喫茶室,19.44,3.7,2.6,1,休憩更衣室,AC1F-06,AC1F-06,
1,階段自販機室,事務所等,廊下,32.76,3.7,2.6,1,階段自販機室,AC1F-05,AC1F-05,
2,ホール,事務所等,ロビー,16.2,3.7,2.6,2,ホール,AC2F-11,AC2F-11,
2,待合室2,事務所等,事務室,19.44,3.7,2.6,2,待合室2,AC2F-07,AC2F-07,
2,相談室1,事務所等,事務室,16.2,3.7,2.6,2,相談室1,AC2F-08,AC2F-08,
2,人権委員室,事務所等,事務室,21.87,3.7,2.6,2,人権委員室,AC2F-10,AC2F-10,
2,相談室2,事務所等,事務室,17.82,3.7,2.6,2,相談室2,AC2F-09,AC2F-09,
2,会議室,事務所等,会議室,50.8,3.7,2.6,2,会議室,AC2F-01,AC2F-01,
2,総務課,事務所等,事務室,95.44,3.7,2.6,2,総務課,AC2F-07,AC2F-07,
2,支局長室,事務所等,事務室,28.62,3.7,2.6,2,支局長室,AC2F-05,AC2F-05,
2,印刷室,事務所等,事務室,20.01,3.7,2.6,2,印刷室,AC2F-06,AC2F-06,
2,女子休憩更衣室,事務所等,喫茶室,19.44,3.7,2.6,2,女子休憩更衣室,AC2F-03,AC2F-03,
2,男子休憩更衣室,事務所等,喫茶室,14.58,3.7,2.6,2,男子休憩更衣室,AC2F-02,AC2F-02,
2,喫煙室,事務所等,ロビー,14.04,3.7,2.6,2,喫煙室,AC2F-11,AC2F-11,
2,書庫2,事務所等,更衣室,335.34,3.7,3,2,書庫2,AC2F-04,AC2F-04,
2,廊下,事務所等,廊下,30.6,3.7,2.6,2,廊下,AC2F-11,AC2F-11,
2,便所前廊下2,事務所等,廊下,9.72,3.7,2.6,2,便所前廊下2,AC2F-11,AC2F-11,
2,通路,事務所等,廊下,8.1,3.7,2.6,2,通路,AC2F-11,AC2F-11,
,,,,,,,,,,,
