様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
1,風除室,事務所等,廊下,12.96,3.7,2.6,3.6,3.6,,FRL12-P323PN26,,106,2,無,無,無,無,無,無
,,,,,,,,,,FRS21-H421PN26,,19,1,無,無,無,無,無,無
1,玄関ホール,事務所等,ロビー,16.2,3.7,2.6,3.6,4.5,,FRL12-P323PX26,,106,2,一括点滅,無,無,無,無,無
1,便所前廊下1,事務所等,廊下,9.72,3.7,2.6,1.8,5.4,,FRS26-162PH26,,50,3,一括点滅,無,無,無,無,無
1,多目的便所1,事務所等,便所,7.29,3.7,2.6,2.7,2.7,,FRS21-H421PN26,,19,3,一括点滅,無,無,無,無,無
1,男子便所1,事務所等,便所,9.89,3.7,2.6,2.7,3.6,,FRS21-H241PN26,,19,3,一括点滅,無,無,無,無,無
,,,,,,,,,,,FFS8,27,5,無,無,無,無,無,無
1,女子便所1,事務所等,便所,8.73,3.7,2.6,2.7,3.6,,FRS21-H241PN26,,27,4,一括点滅,無,無,無,無,無
,,,,,,,,,,,FFS8,27,2,無,無,無,無,無,無
1,車庫タイヤ保管庫,事務所等,屋内駐車場,43.74,3.7,2.75,8.1,5.4,,FSS9-321PH26,,48,2,無,無,無,無,無,無
1,閲覧コーナー,事務所等,事務室,28.66,3.7,2.6,10.8,2.7,,FSS6-322PX26,,95,5,無,無,有,片側採光かつブラインド自動制御なし,無,有
1,待合室1,事務所等,事務室,77.48,3.7,2.6,7.2,10.8,,FSS6-322PX26,,95,15,無,消灯,有,片側採光かつブラインド自動制御なし,無,有
1,乙号委託スペース,事務所等,事務室,49.81,3.7,2.6,10.8,4.5,,FSS6-322PX26,,95,10,無,無,有,片側採光かつブラインド自動制御なし,無,有
1,登録部門,事務所等,事務室,158.19,3.7,2.6,,,1.83,FSS6-322PX26,,95,32,無,無,有,片側採光かつブラインド自動制御なし,無,有
1,湯沸室1,事務所等,湯沸室等,8.64,3.7,2.6,1.8,4.5,,FSS9-321PH26,,48,2,一括点滅,無,無,無,無,無
,,,,,,,,,,,SP-1,27,1,無,無,無,無,無,無
1,倉庫1,事務所等,更衣室,12.96,3.7,2.6,,,0.53,FSS9-322PH26,,48,2,無,無,無,無,無,無
1,書庫1,事務所等,更衣室,270.54,3.7,3,,,2.08,FSS9-321PH26,,48,60,無,無,無,無,無,無
1,休憩更衣室,事務所等,喫茶室,19.44,3.7,2.6,7.2,2.7,,FSS6-322PH26,,95,2,無,無,無,無,無,無
1,機械室,事務所等,機械室,3.24,3.7,2.6,1.8,1.8,,FSR2-322PN26,,48,1,無,無,無,無,無,無
1,電気室,事務所等,電気室,24.3,3.7,3.55,5.4,4.5,,FSR2-321PH26,,48,4,無,無,無,無,無,無
1,階段自販機室,事務所等,廊下,32.76,3.7,2.6,7.2,3.6,,FRL12-P323PX26,,106,2,一括点滅,無,無,無,無,無
,,,,,,,,,,,FRS21,19,1,無,無,無,無,無,無
,,,,,,,,,,,SP-3,35,2,無,無,無,無,無,無
1,倉庫2,事務所等,更衣室,4.86,3.7,2.6,2.7,1.8,,FSS9-161PH26,,48,1,無,無,無,無,無,無
2,ホール,事務所等,ロビー,16.2,3.7,2.6,3.6,4.5,,FRL12-P323PH26,,106,4,一括点滅,無,無,無,無,無
2,待合室2,事務所等,事務室,19.44,3.7,2.6,3.6,5.4,,FRL12-P323PH26,,106,6,無,消灯,有,片側採光かつブラインド自動制御なし,無,有
2,相談室1,事務所等,事務室,16.2,3.7,2.6,4.5,3.6,,FSS6-322PX26,,95,4,無,無,有,片側採光かつブラインド自動制御なし,無,有
2,人権委員室,事務所等,事務室,21.87,3.7,2.6,5.4,3.6,,FSS6-322PX26,,95,6,無,無,有,片側採光かつブラインド自動制御なし,無,有
2,相談室2,事務所等,事務室,17.82,3.7,2.6,5.4,3.6,,FSS6-322PX26,,95,4,無,無,有,片側採光かつブラインド自動制御なし,無,有
2,会議室,事務所等,会議室,50.8,3.7,2.6,9,5.4,,FSS6-322PX26,,95,12,無,無,有,片側採光かつブラインド自動制御なし,無,有
2,総務課,事務所等,事務室,95.44,3.7,2.6,,,1.36,FSS6-322PX26,,95,18,無,消灯,有,片側採光かつブラインド自動制御なし,無,有
2,支局長室,事務所等,事務室,28.62,3.7,2.6,5.4,5.4,,FRS15F1-322PX26,,84,6,無,消灯,有,片側採光かつブラインド自動制御なし,無,有
2,印刷室,事務所等,事務室,20.01,3.7,2.6,,,0.62,FSS9-322PJ26,,48,3,一括点滅,無,無,無,無,無
2,物置,事務所等,更衣室,14.58,3.7,2.6,2.7,5.4,,FSS9-322PN26,,48,2,無,無,無,無,無,無
2,女子休憩更衣室,事務所等,喫茶室,19.44,3.7,2.6,3.6,5.4,,FSS6-322PX26,,95,2,無,無,有,片側採光かつブラインド自動制御なし,無,有
2,男子休憩更衣室,事務所等,喫茶室,14.58,3.7,2.6,2.7,5.4,,FSS6-322PX26,,95,2,無,無,有,片側採光かつブラインド自動制御なし,無,有
2,湯沸室2,事務所等,湯沸室等,7.2,3.7,2.6,2.7,2.7,,FSS9-321PH26,,48,1,一括点滅,無,無,無,無,無
,,,,,,,,,,,SP-1,27,1,無,無,無,無,無,無
2,喫煙室,事務所等,ロビー,14.04,3.7,2.6,3.6,3.6,,FSL1-322PX26,,95,1,一括点滅,無,無,無,無,無
2,書庫2,事務所等,更衣室,335.34,3.7,3,20.7,16.2,,FSS9-321PH26,,48,75,一括点滅,無,無,無,無,無
2,男子便所2,事務所等,便所,9.89,3.7,2.6,2.7,3.6,,FRS21-H241PN26,,19,3,一括点滅,無,無,無,無,無
,,,,,,,,,,,,27,5,無,無,無,無,無,無
2,女子便所2,事務所等,便所,8.73,3.7,2.6,2.7,3.6,,FRS21-H241PN26,,27,4,一括点滅,無,無,無,無,無
,,,,,,,,,,,FSS8,27,2,無,無,無,無,無,無
2,廊下,事務所等,廊下,30.6,3.7,2.6,1.8,18,,FRS26-162PH26,,50,6,一括点滅,無,無,無,無,無
2,便所前廊下2,事務所等,廊下,9.72,3.7,2.6,1.8,5.4,,FRS26-162PH26,,50,3,一括点滅,無,無,無,無,無
2,通路,事務所等,廊下,8.1,3.7,2.6,1.8,4.5,,FRS26-162PH26,,50,2,一括点滅,無,無,無,無,無
2,多目的便所2,事務所等,便所,7.29,3.7,2.6,2.7,2.7,,FRS21-H421PN26,,19,3,一括点滅,無,無,無,無,無
,,,,,,,,,,,,,,,,,,,
