様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
1,風除室,事務所等,廊下,12.96,3.7,2.6,,,,■,
1,玄関ホール,事務所等,ロビー,16.2,3.7,2.6,■,,■,■,
1,便所前廊下1,事務所等,廊下,9.72,3.7,2.6,■,,,■,空調は1玄関ホールへ統合
1,多目的便所1,事務所等,便所,7.29,3.7,2.6,,■,,■,
1,男子便所1,事務所等,便所,9.89,3.7,2.6,,■,,■,
1,女子便所1,事務所等,便所,8.73,3.7,2.6,,■,,■,
1,車庫タイヤ保管庫,事務所等,屋内駐車場,43.74,3.7,2.75,,■,,■,
1,閲覧コーナー,事務所等,事務室,28.66,3.7,2.6,■,,■,■,
1,待合室1,事務所等,事務室,77.48,3.7,2.6,■,,■,■,
1,乙号委託スペース,事務所等,事務室,49.81,3.7,2.6,■,,■,■,
1,登録部門,事務所等,事務室,158.19,3.7,2.6,■,,■,■,
1,湯沸室1,事務所等,湯沸室等,8.64,3.7,2.6,,■,,■,
1,倉庫1,事務所等,更衣室,12.96,3.7,2.6,,■,,■,
1,書庫1,事務所等,更衣室,270.54,3.7,3,■,,,■,
1,休憩更衣室,事務所等,喫茶室,19.44,3.7,2.6,■,,,■,
1,機械室,事務所等,機械室,3.24,3.7,2.6,,■,,■,
1,電気室,事務所等,電気室,24.3,3.7,3.55,,■,,■,
1,階段自販機室,事務所等,廊下,32.76,3.7,2.6,■,,,■,空調は1玄関ホールへ統合
1,倉庫2,事務所等,更衣室,4.86,3.7,2.6,,■,,■,
2,ホール,事務所等,ロビー,16.2,3.7,2.6,■,,■,■,
2,待合室2,事務所等,事務室,19.44,3.7,2.6,■,,■,■,
2,相談室1,事務所等,事務室,16.2,3.7,2.6,■,,■,■,
2,人権委員室,事務所等,事務室,21.87,3.7,2.6,■,,■,■,
2,相談室2,事務所等,事務室,17.82,3.7,2.6,■,,■,■,
2,会議室,事務所等,会議室,50.8,3.7,2.6,■,,■,■,
2,総務課,事務所等,事務室,95.44,3.7,2.6,■,,■,■,
2,支局長室,事務所等,事務室,28.62,3.7,2.6,■,,■,■,
2,印刷室,事務所等,事務室,20.01,3.7,2.6,■,,,■,
2,物置,事務所等,更衣室,14.58,3.7,2.6,,■,,■,
2,女子休憩更衣室,事務所等,喫茶室,19.44,3.7,2.6,■,,,■,
2,男子休憩更衣室,事務所等,喫茶室,14.58,3.7,2.6,■,,,■,
2,湯沸室2,事務所等,湯沸室等,7.2,3.7,2.6,,■,,■,
2,喫煙室,事務所等,ロビー,14.04,3.7,2.6,■,,■,■,
2,書庫2,事務所等,更衣室,335.34,3.7,3,■,,,■,
2,男子便所2,事務所等,便所,9.89,3.7,2.6,,■,,■,
2,女子便所2,事務所等,便所,8.73,3.7,2.6,,■,,■,
2,廊下,事務所等,廊下,30.6,3.7,2.6,■,,,■,空調は2ホールへ統合
2,便所前廊下2,事務所等,廊下,9.72,3.7,2.6,■,,,■,空調は2ホールへ統合
2,通路,事務所等,廊下,8.1,3.7,2.6,■,,,■,空調は2ホールへ統合
2,多目的便所2,事務所等,便所,7.29,3.7,2.6,,■,,■,
,,,,,,,,,,,
