様式 3-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
①,①,①,①,①,②,③
,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称
,,,,,,
,,,,[㎡],(給気/排気/循環/空調),
(転記),(転記),(転記),(転記),(転記),(選択),(転記)
,,,,,,
1,多目的便所1,事務所等,便所,7.29,排気,FEM-2
1,男子便所1,事務所等,便所,9.89,排気,FEM-2
1,女子便所1,事務所等,便所,8.73,排気,FEM-2
1,車庫タイヤ保管庫,事務所等,屋内駐車場,43.74,排気,FEW-2
1,倉庫1,事務所等,更衣室,12.96,排気,FEC-1
1,機械室,事務所等,機械室,3.24,排気,FEC-2
1,電気室,事務所等,電気室,24.3,給気,FSW-1
,,,,,排気,FEW-1
1,湯沸室1,事務所等,湯沸室等,8.64,排気,FEC-3
1,倉庫2,事務所等,更衣室,4.86,排気,FEC-2
2,物置,事務所等,更衣室,14.58,排気,FEC-1
2,男子便所2,事務所等,便所,9.89,排気,FEM-2
2,女子便所2,事務所等,便所,8.73,排気,FEM-2
2,多目的便所2,事務所等,便所,7.29,排気,FEM-2
2,湯沸室2,事務所等,湯沸室等,7.2,排気,FEC-3
,,,,,,
