様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
1,事務室1-1,事務所等,電算事務室,225.9,4.15,2.7,■,,■,■,北側エリア
1,事務室1-2,事務所等,事務室,214.3,4.15,2.7,■,,■,■,南側エリア
1,相談室1,事務所等,事務室,20.4,4.15,2.7,■,,■,■,
1,倉庫1,事務所等,更衣室,20.4,4.15,2.7,,■,,■,
1,休憩室1,事務所等,喫茶室,11.9,4.15,2.7,■,,,■,
1,更衣室1,事務所等,更衣室,8.84,4.15,2.7,,,,■,
1,男子便所（職員用）,事務所等,便所,3.52,4.15,2.5,,■,,■,
1,給湯室1,事務所等,湯沸室等,3.36,4.15,2.7,,,,■,
1,廊下1-2,事務所等,廊下,3.72,4.15,2.7,■,,,■,
1,空調機械室1,事務所等,機械室,44.8,4.15,3.9,,■,,■,
1,官用車庫1,事務所等,屋内駐車場,37.05,4.15,2.7,,,,■,
1,風除室,事務所等,廊下,10.08,4.15,2.5,■,,,■,
1,ホール1,事務所等,ロビー,30.36,4.15,2.7,■,,,■,
1,廊下1-1,事務所等,廊下,11.39,4.15,2.7,■,,,■,
1,男子便所1,事務所等,便所,7.5,4.15,2.5,,■,,■,
1,女子便所1,事務所等,便所,7.5,4.15,2.5,,■,,■,
1,多目的便所1,事務所等,便所,4.6,4.15,2.5,,■,,■,
2,事務室2,事務所等,事務室,208.32,4.1,2.7,■,,■,■,
2,事務室3,事務所等,事務室,19.72,4.1,2.7,■,,■,■,
2,印刷室,事務所等,事務室,10.54,4.1,2.7,■,,,■,
2,物品庫,事務所等,更衣室,6.82,4.1,2.7,,,,■,
2,所長室,事務所等,事務室,32.48,4.1,2.7,■,,■,■,
2,マザーズキッズコーナー,事務所等,事務室,27.6,4.1,2.7,■,,■,■,
2,調乳室,事務所等,事務室,4.81,4.1,2.7,■,,■,■,
2,相談室2,事務所等,事務室,20.4,4.1,2.7,■,,■,■,
2,倉庫2,事務所等,更衣室,20.4,4.1,2.7,,■,,■,
2,空調機械室2,事務所等,機械室,44.8,4.1,3.9,,■,,■,
2,休憩室2,事務所等,喫茶室,11.9,4.1,2.7,■,,,■,
2,更衣室2,事務所等,更衣室,8.84,4.1,2.7,,,,■,
2,女子便所（職員用）,事務所等,便所,3.52,4.1,2.5,,■,,■,
2,給湯室2,事務所等,湯沸室等,3.36,4.1,2.7,,,,■,
2,廊下2-2,事務所等,廊下,3.72,4.15,2.7,■,,,■,
2,廊下2-1,事務所等,廊下,11.39,4.1,2.7,■,,,■,
2,ホール2,事務所等,ロビー,15.2,4.1,2.7,■,,,■,
2,男子便所2,事務所等,便所,7.5,4.1,2.5,,■,,■,
2,女子便所2,事務所等,便所,7.5,4.1,2.5,,■,,■,
2,多目的便所2,事務所等,便所,4.6,4.1,2.5,,■,,■,
3,廊下3-1,事務所等,廊下,11.39,3.95,2.7,,,,■,
3,ホール3,事務所等,ロビー,17.48,3.95,2.7,,,,■,
3,大会議室,事務所等,会議室,92.66,3.95,2.7,■,,,■,
3,ジョブクラブ,事務所等,事務室,18.13,3.95,2.7,■,,,■,
3,倉庫3,事務所等,更衣室,20.4,3.95,2.7,,,,■,
3,耐火倉庫,事務所等,更衣室,42.25,3.95,2.7,,■,,■,
3,熱源機械室,事務所等,機械室,49.7,3.95,3.8,,■,,■,
3,電気室,事務所等,電気室,27.27,3.95,3.8,,■,,■,
3,通信機械室,事務所等,電算事務室,37.95,3.95,2.7,■,,,■,
3,休憩室3,事務所等,喫茶室,17.64,3.95,2.7,■,,,■,
3,休憩室4,事務所等,喫茶室,12.64,3.95,2.7,■,,,■,
3,廊下3-2,事務所等,廊下,15.75,3.95,2.7,,,,■,
3,廊下3-3,事務所等,廊下,6.3,3.95,2.7,,,,■,
3,男子便所3,事務所等,便所,7.5,3.95,2.5,,■,,■,
3,女子便所3,事務所等,便所,7.5,3.95,2.5,,■,,■,
3,多目的便所3,事務所等,便所,4.6,3.95,2.5,,■,,■,
1,階段室1-1,事務所等,廊下,20.8,4.15,2.4,,,,■,
1,階段室1-2,事務所等,廊下,19.5,4.15,2.4,,,,■,
2,階段室2-1,事務所等,廊下,20.8,4.1,2.4,,,,■,
2,階段室2-2,事務所等,廊下,19.5,4.1,2.4,,,,■,
3,階段室3-1,事務所等,廊下,20.8,3.95,2.4,,,,■,
3,階段室3-2,事務所等,廊下,19.5,3.95,2.4,,,,■,
1,EPS1,事務所等,機械室,5.04,4.15,4,,,,■,
2,EPS2,事務所等,機械室,5.04,4.1,4,,,,■,
3,EPS3,事務所等,機械室,5.04,3.95,4,,,,■,
