様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
1,事務室1-1,事務所等,電算事務室,225.9,4.15,2.7,1,事務室1-1,ACC1,ACC1,
1,事務室1-2,事務所等,事務室,214.3,4.15,2.7,1,事務室1-2,ACC2,ACC2,
1,相談室1,事務所等,事務室,20.4,4.15,2.7,1,相談室1,ACC2,ACC2,
1,休憩室1,事務所等,喫茶室,11.9,4.15,2.7,1,休憩室1,ACP1-1,ACP1-1,
1,廊下1-2,事務所等,廊下,3.72,4.15,2.7,1,廊下1-2,ACC2,ACC2,
1,風除室,事務所等,廊下,10.08,4.15,2.5,1,風除室,ACC2,ACC2,
1,ホール1,事務所等,ロビー,30.36,4.15,2.7,1,ホール1,ACC2,ACC2,
1,廊下1-1,事務所等,廊下,11.39,4.15,2.7,1,廊下1-1,ACC2,ACC2,
2,事務室2,事務所等,事務室,208.32,4.1,2.7,2,事務室2,ACU1,ACU1,
2,事務室3,事務所等,事務室,19.72,4.1,2.7,2,事務室3,ACU1,ACU1,
2,印刷室,事務所等,事務室,10.54,4.1,2.7,2,印刷室,ACU1,ACU1,
2,所長室,事務所等,事務室,32.48,4.1,2.7,2,所長室,ACU1,ACU1,
2,マザーズキッズコーナー,事務所等,事務室,27.6,4.1,2.7,2,マザーズキッズコーナー,ACU1,ACU1,
2,調乳室,事務所等,事務室,4.81,4.1,2.7,2,調乳室,ACU1,ACU1,
2,相談室2,事務所等,事務室,20.4,4.1,2.7,2,相談室2,ACU1,ACU1,
2,休憩室2,事務所等,喫茶室,11.9,4.1,2.7,2,休憩室2,ACP1-2,ACP1-2,
2,廊下2-2,事務所等,廊下,3.72,4.15,2.7,2,廊下2-2,ACU1,ACU1,
2,廊下2-1,事務所等,廊下,11.39,4.1,2.7,2,廊下2-1,ACU1,ACU1,
2,ホール2,事務所等,ロビー,15.2,4.1,2.7,2,ホール2,ACU1,ACU1,
3,大会議室,事務所等,会議室,92.66,3.95,2.7,3,大会議室,ACP2,ACP2,
3,ジョブクラブ,事務所等,事務室,18.13,3.95,2.7,3,ジョブクラブ,ACP3,ACP3,
3,通信機械室,事務所等,電算事務室,37.95,3.95,2.7,3,通信機械室,AC1,AC1,
3,休憩室3,事務所等,喫茶室,17.64,3.95,2.7,3,休憩室3,ACP4,ACP4,
3,休憩室4,事務所等,喫茶室,12.64,3.95,2.7,3,休憩室4,ACP4,ACP4,
